scale,T,pH,F1,F2,F3,Y,mean Y per recipe,std Y per recipe,Y / Y_pilot,normalized std,mean Y / Y_pilot,mean normalized std,scale multiplier,mean scale multiplier,mean std
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1759408177852083,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.160087975611598,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1573209216135861,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1604421055607385,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1726372430664893,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1685522778131854,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.2151247477084557,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1831783837731926,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1312521881162741,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1596616785705502,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1880308872032338,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1742639289901111,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.15847666133952,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.2159429961558518,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1641406002498576,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1780849309583385,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1270316038042379,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1240636059321075,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1769214046294502,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,47.454360279517104,7.728101954803803,1.7858450094389746,1.0118731203422475,1.3004618274689124,0.1625424133768776,0.16768486861294324,0.023899119529845365,0.1059833575248716,0.22549879611274656,0.1016396052593024,0.2027552065312234,9.435443671100197,10.042909630916036,0.019977964846977798
micro,24.2080343676954,5.410315939556034,0.7113086021443186,0.1942973886395463,0.4317697837783722,0.1197301567344002,0.13070769613898864,0.0133394248740089,0.1061257436201079,0.12569452442905138,0.1016396052593024,0.2027552065312234,9.422784386601247,10.042909630916036,0.019977964846977798
