id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur,projected_pilot_Y,measured_pilot_Y
181129,2026-07-01T17:09:35.102278+00:00,bench,20.0,3.0,0.0,0.0,0.0,1.357250738456324,500,0.5742953639465976,0.6524187043461622
181130,2026-07-01T17:09:35.441673+00:00,bench,20.0,3.0,0.0,0.0,2.0,1.9739734109104028,500,0.8352500730477053,0.9602223912454861
181131,2026-07-01T17:09:35.542397+00:00,bench,20.0,3.0,0.0,2.0,0.0,1.2732977249621678,500,0.5387722103590179,0.6492300346590815
181132,2026-07-01T17:09:35.668313+00:00,bench,20.0,3.0,0.0,2.0,2.0,1.994026712646591,500,0.8437352540777141,0.9556448862139687
181133,2026-07-01T17:09:35.762868+00:00,bench,20.0,3.0,2.0,0.0,0.0,2.910796037828506,500,1.2316491143119976,1.1670748069944163
181134,2026-07-01T17:09:35.851953+00:00,bench,20.0,3.0,2.0,0.0,2.0,4.454336618885161,500,1.8847695545134016,1.96242046832592
181135,2026-07-01T17:09:35.939512+00:00,bench,20.0,3.0,2.0,2.0,0.0,2.869028006654226,500,1.2139757500728683,1.160378914257689
181136,2026-07-01T17:09:36.029562+00:00,bench,20.0,3.0,2.0,2.0,2.0,4.395910299128304,500,1.8600475458099932,1.9618443506824876
181138,2026-07-01T17:09:36.204353+00:00,bench,20.0,9.5,0.0,0.0,0.0,1.3268012290705768,500,0.5614112213344729,0.6514916867175945
181139,2026-07-01T17:09:36.294859+00:00,bench,20.0,9.5,0.0,0.0,2.0,1.956375208567157,500,0.8278037215865044,0.9589391581149701
181140,2026-07-01T17:09:36.400801+00:00,bench,20.0,9.5,0.0,2.0,0.0,1.2497585528036932,500,0.5288120482027401,0.6454587188502535
181141,2026-07-01T17:09:36.495021+00:00,bench,20.0,9.5,0.0,2.0,2.0,1.881769204573667,500,0.7962355809312459,0.9533709181856579
181142,2026-07-01T17:09:36.601659+00:00,bench,20.0,9.5,2.0,0.0,0.0,2.877552240538638,500,1.2175826208317542,1.1620168379798317
181143,2026-07-01T17:09:36.694044+00:00,bench,20.0,9.5,2.0,0.0,2.0,4.45123951148622,500,1.8834590712176769,1.9620068804416668
181144,2026-07-01T17:09:36.781019+00:00,bench,20.0,9.5,2.0,2.0,0.0,2.973403849015781,500,1.2581404432116159,1.1575199571475676
181145,2026-07-01T17:09:36.883300+00:00,bench,20.0,9.5,2.0,2.0,2.0,4.353420283548313,500,1.8420686873203957,1.9607750896191354
181146,2026-07-01T17:09:36.977239+00:00,bench,60.0,3.0,0.0,0.0,0.0,1.3818397136278588,500,0.5846997306896737,0.6503371281197253
181147,2026-07-01T17:09:37.320527+00:00,bench,60.0,3.0,0.0,0.0,2.0,1.9425633413152448,500,0.8219594872785234,0.9625685986331911
181148,2026-07-01T17:09:37.419086+00:00,bench,60.0,3.0,0.0,2.0,0.0,1.1992814743965603,500,0.507453612879466,0.6493542421791275
181149,2026-07-01T17:09:37.506006+00:00,bench,60.0,3.0,0.0,2.0,2.0,2.0037698927098906,500,0.8478578992028248,0.9519002548041396
181150,2026-07-01T17:09:37.616958+00:00,bench,60.0,3.0,2.0,0.0,0.0,2.8758650871345752,500,1.2168687333010522,1.1605540345043701
181151,2026-07-01T17:09:37.711725+00:00,bench,60.0,3.0,2.0,0.0,2.0,4.407737116238107,500,1.865051843132483,1.9577984278247318
181152,2026-07-01T17:09:37.818632+00:00,bench,60.0,3.0,2.0,2.0,0.0,2.863885992640286,500,1.2118000026402953,1.1637368930087428
181153,2026-07-01T17:09:37.909839+00:00,bench,60.0,3.0,2.0,2.0,2.0,4.434811169991395,500,1.87650772457959,1.9603026272711606
181154,2026-07-01T17:09:38.009595+00:00,bench,60.0,9.5,0.0,0.0,0.0,1.425371264278888,500,0.6031192953404371,0.6384084234117339
181155,2026-07-01T17:09:38.101950+00:00,bench,60.0,9.5,0.0,0.0,2.0,1.9521871919271288,500,0.8260316403694148,0.9585491303737359
181156,2026-07-01T17:09:38.202301+00:00,bench,60.0,9.5,0.0,2.0,0.0,1.3645591347349562,500,0.5773877756740554,0.6507565726092396
181157,2026-07-01T17:09:38.290253+00:00,bench,60.0,9.5,0.0,2.0,2.0,1.9509561785540377,500,0.8255107599947785,0.9569093369667675
181158,2026-07-01T17:09:38.378372+00:00,bench,60.0,9.5,2.0,0.0,0.0,2.9136073711299018,500,1.2328386776224118,1.168399500670477
181159,2026-07-01T17:09:38.713953+00:00,bench,60.0,9.5,2.0,0.0,2.0,4.429354739510546,500,1.8741989376767274,1.9593693112022683
181178,2026-07-01T17:10:43.757418+00:00,bench,60.0,9.5,2.0,2.0,0.0,2.8839543641899867,500,1.2202915601811364,1.165932374491901
181179,2026-07-01T17:10:43.857904+00:00,bench,60.0,9.5,2.0,2.0,2.0,4.41996073139081,500,1.8702240381543465,1.9591253465628347
181183,2026-07-01T17:10:46.058706+00:00,bench,41.44049348026859,6.634433972012322,1.9883609142021184,1.0388579665093662,1.970746248258828,4.402834190917164,500,1.86297726162605,1.9453970494472668
