csv_path,X_opt,result_pilot
Task03/micro_data_ei(0.01)_03.csv,[35.76622926  7.97627092  1.9840058   0.41406573  1.97829213],21.751408311397824
Task03/micro_data_ei(0.01)_04.csv,[36.01468233  8.06547715  1.8158491   0.5681246   1.98960139],21.39199345679179
Task03/micro_data_ei(0.01)_05.csv,[35.94961683  8.10164232  1.56684601  0.41086154  1.98464645],22.371418944136796
Task03/micro_data_ei(0.01)_06.csv,[35.98774269  8.10879057  1.95498792  0.54097969  1.98921507],21.636194757248308
Task03/micro_data_ei(0.01)_07.csv,[35.9837446   8.13918866  1.88740218  0.54964599  1.99750916],21.53200631577898
Task03/bench_data_ei(0.01)_01.csv,[35.84065335  8.07404269  1.52678535  0.108441    1.88339592],23.958734832589045
Task03/bench_data_ei(0.01)_02.csv,[36.28153918  7.88800988  0.55073127  0.13885826  1.90111491],21.214895943542807
Task03/bench_data_ei(0.01)_03.csv,[35.5633566   8.05612601  1.93941594  0.15217495  1.97938946],23.360311001360333
Task03/pilot_data_ei(0.01)_01.csv,[35.98236201  8.01590058  1.30591688  0.06952236  1.95287814],24.125235321480968
Task03/pilot_data_ei(0.01)_02.csv,[36.00616766  8.10601525  1.75922483  0.14244576  1.93968399],24.515659463087996
Task03/pilot_data_ei(0.01)_03.csv,[35.94830612  8.1557675   1.15531909  0.33534797  1.95826169],22.41047307775808
