id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur
446519,2026-07-10T10:30:51.145196+00:00,bench,20,3,0,0,0,1.282512914726996,500
446520,2026-07-10T10:30:51.300912+00:00,bench,20,3,0,0,2,1.9197024151028121,500
446521,2026-07-10T10:30:51.437013+00:00,bench,20,3,0,2,0,1.2818413971439757,500
446522,2026-07-10T10:30:51.550338+00:00,bench,20,3,0,2,2,1.9457436919737516,500
446523,2026-07-10T10:30:51.658808+00:00,bench,20,3,2,0,0,2.94736635612087,500
446524,2026-07-10T10:30:51.780148+00:00,bench,20,3,2,0,2,4.439696175378944,500
446525,2026-07-10T10:30:51.899580+00:00,bench,20,3,2,2,0,2.923734381602392,500
446526,2026-07-10T10:30:51.984021+00:00,bench,20,3,2,2,2,4.411511316191353,500
446527,2026-07-10T10:30:52.098095+00:00,bench,20,9.5,0,0,0,1.4895934874091115,500
446528,2026-07-10T10:30:52.201220+00:00,bench,20,9.5,0,0,2,1.9425679279417032,500
446529,2026-07-10T10:30:52.325823+00:00,bench,20,9.5,0,2,0,1.3604106767176156,500
446530,2026-07-10T10:30:52.437876+00:00,bench,20,9.5,0,2,2,1.9246862346636737,500
446531,2026-07-10T10:30:52.597533+00:00,bench,20,9.5,2,0,0,2.8424404295577137,500
446532,2026-07-10T10:30:52.700087+00:00,bench,20,9.5,2,0,2,4.320009682314626,500
446533,2026-07-10T10:30:52.800721+00:00,bench,20,9.5,2,2,0,2.829630480965679,500
446534,2026-07-10T10:30:52.893759+00:00,bench,20,9.5,2,2,2,4.4671160885293535,500
446535,2026-07-10T10:30:52.996414+00:00,bench,60,3,0,0,0,1.2331371047330235,500
446536,2026-07-10T10:30:53.094328+00:00,bench,60,3,0,0,2,1.9828613621303792,500
446537,2026-07-10T10:30:53.193414+00:00,bench,60,3,0,2,0,1.2498112651313371,500
446538,2026-07-10T10:30:53.284839+00:00,bench,60,3,0,2,2,1.934172141321041,500
446539,2026-07-10T10:30:53.381894+00:00,bench,60,3,2,0,0,2.8399342561626466,500
446540,2026-07-10T10:30:53.491321+00:00,bench,60,3,2,0,2,4.4341493784417185,500
446541,2026-07-10T10:30:53.587492+00:00,bench,60,3,2,2,0,2.9045461203138125,500
446542,2026-07-10T10:30:53.678578+00:00,bench,60,3,2,2,2,4.498955947580373,500
446543,2026-07-10T10:30:53.804499+00:00,bench,60,9.5,0,0,0,1.2528104913391207,500
446544,2026-07-10T10:30:53.903049+00:00,bench,60,9.5,0,0,2,1.8425707299223966,500
446545,2026-07-10T10:30:53.998683+00:00,bench,60,9.5,0,2,0,1.3037998566150915,500
446546,2026-07-10T10:30:54.085569+00:00,bench,60,9.5,0,2,2,1.9139386776293998,500
446547,2026-07-10T10:30:54.185692+00:00,bench,60,9.5,2,0,0,2.8730859005145026,500
446548,2026-07-10T10:30:54.287675+00:00,bench,60,9.5,2,0,2,4.418028212811531,500
446549,2026-07-10T10:31:59.086800+00:00,bench,60,9.5,2,2,0,2.90432466718789,500
446550,2026-07-10T10:31:59.189097+00:00,bench,60,9.5,2,2,2,4.370480299752531,500
446551,2026-07-10T10:32:01.453610+00:00,bench,41.201701806740616,4.859599741023317,1.9856557412559155,1.0217730618749,1.9832283696519546,4.4852418202456565,500
446552,2026-07-10T10:32:03.510898+00:00,bench,49.90674756750323,6.430419571645459,1.9814767162717244,1.9907295044311821,1.98314476269972,4.583220888466897,500
446553,2026-07-10T10:32:05.351330+00:00,bench,43.812134762122575,5.430890908213405,1.9862502994877722,1.9937312013236954,1.9798005713680553,4.367133683397276,500
446554,2026-07-10T10:32:07.056996+00:00,bench,27.65016854320974,6.598816506859778,1.9895971535250074,0.9916801402482318,1.993412348031983,4.380683026098045,500
446555,2026-07-10T10:32:08.962031+00:00,bench,58.44050216292581,5.079580530538761,1.9708616051884222,1.2805240315699067,1.9793838077860644,4.468244090901869,500
446556,2026-07-10T10:32:11.009921+00:00,bench,53.9733420308273,3.0082553958949507,1.998821147789012,1.3390581407922435,1.9827969260857792,4.383458804260603,500
446557,2026-07-10T10:32:13.061374+00:00,bench,39.43656509368046,5.414413107086637,1.9785260151046582,0.004329918155724144,1.999170187394033,4.433431426447424,500
446558,2026-07-10T10:32:15.107504+00:00,bench,48.24756307590588,7.649870116930808,1.9896339349250627,1.0209445106050052,1.9921440895791709,4.374816559807427,500
