id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur,projected_pilot_Y,measured_pilot_Y,best_projected_pilot_Y,best_T,best_pH,best_F1,best_F2,best_F3
561905,2026-07-11T19:43:46.019452+00:00,micro,20.0,3.0,0.0,0.0,0.0,0.1099853977846506,10,1.1045734106715988,0.6495827043975174,1.1045734106715988,20.0,3.0,0.0,0.0,0.0
561907,2026-07-11T19:43:46.234457+00:00,micro,20.0,3.0,0.0,0.0,2.0,0.1772649173631266,10,1.7802555458096794,0.9606458804505339,1.7802555458096794,20.0,3.0,0.0,0.0,2.0
561909,2026-07-11T19:43:46.541514+00:00,micro,20.0,3.0,0.0,2.0,0.0,0.1085974214527308,10,1.0906340898002778,0.6502303189557127,1.7802555458096794,20.0,3.0,0.0,0.0,2.0
561912,2026-07-11T19:43:46.925301+00:00,micro,20.0,3.0,0.0,2.0,2.0,0.1317317282154267,10,1.3229698419919225,0.9593650097255496,1.7802555458096794,20.0,3.0,0.0,0.0,2.0
561914,2026-07-11T19:43:47.140469+00:00,micro,20.0,3.0,2.0,0.0,0.0,0.1696004732215135,10,1.7032822259242553,1.1649201555889446,1.7802555458096794,20.0,3.0,0.0,0.0,2.0
562006,2026-07-11T19:44:52.411787+00:00,micro,20.0,3.0,2.0,0.0,2.0,0.202671521623203,10,2.035411776422073,1.9587260542670213,2.035411776422073,20.0,3.0,2.0,0.0,2.0
562008,2026-07-11T19:44:52.698934+00:00,micro,20.0,3.0,2.0,2.0,0.0,0.1407355355238501,10,1.4133942651246,1.1634932405535614,2.035411776422073,20.0,3.0,2.0,0.0,2.0
562010,2026-07-11T19:44:52.931361+00:00,micro,20.0,3.0,2.0,2.0,2.0,0.2303397857003874,10,2.3132816521935564,1.9640927263534345,2.3132816521935564,20.0,3.0,2.0,2.0,2.0
562012,2026-07-11T19:44:53.217258+00:00,micro,20.0,9.5,0.0,0.0,0.0,0.0768337391097905,10,0.771634298485005,0.6446904704833761,2.3132816521935564,20.0,3.0,2.0,2.0,2.0
562013,2026-07-11T19:44:53.398047+00:00,micro,20.0,9.5,0.0,0.0,2.0,0.1585826311922104,10,1.5926310340962555,0.9549218650390617,2.3132816521935564,20.0,3.0,2.0,2.0,2.0
