T,pH,F1,F2,F3,Y_micro,Y_bench,Y_pilot,cost_micro,cost_bench,cost_pilot,delta_micro_vs_pilot,delta_bench_vs_pilot
39.995497606961216,3.8630466422112306,0.010762455394972252,1.296774564419328,0.7899791044979326,0.13469757859888648,1.7280662509546165,0.8794328371098549,10.0,500.0,2000.0,-0.7447352585109683,0.8486334138447617
35.80360616616004,3.0020282286115236,0.4331969289256339,0.7360585939803306,0.0040524160286044,0.10256611824990411,2.7182197121000775,1.0898970739933864,10.0,500.0,2000.0,-0.9873309557434823,1.628322638106691
38.68495256541095,3.0332420370521502,0.5467427157447283,0.5808875348590606,0.1142710754623589,0.0906715764770486,2.961988648032231,1.1374551884063362,10.0,500.0,2000.0,-1.0467836119292877,1.8245334596258946
39.1113021975722,4.076472901416117,0.5628280416017724,0.9660526394188128,0.158116453042247,0.13822405282105896,2.812784216023242,1.1473526078010932,10.0,500.0,2000.0,-1.0091285549800342,1.665431608222149
39.47728410190791,6.261349031772239,1.0140928194931182,0.470829038364029,0.05115371745864214,0.1306512625306213,2.850276850242712,1.1553112826165373,10.0,500.0,2000.0,-1.024660020085916,1.6949655676261746
39.72137934250207,9.035566533446772,0.9610795109288381,0.03397314734970564,0.08843965568384915,0.11816176327151261,2.9356256377156775,1.157417297801159,10.0,500.0,2000.0,-1.0392555345296464,1.7782083399145185
37.85852856925586,6.393206889258865,0.13534718516067132,1.009384608188019,0.42787968358599976,0.10983231767852275,3.069127971580612,1.1794666344231228,10.0,500.0,2000.0,-1.0696343167446,1.889661337157489
38.558327072310576,4.036622478679768,0.6815031626196388,1.5980177371684023,0.283128500968045,0.14060485814791387,2.9997286985757263,1.1913418417198565,10.0,500.0,2000.0,-1.0507369835719427,1.8083868568558699
38.87566708345809,7.843104045366956,0.22124347090050034,1.2685654389524785,0.3905302119788609,0.08261370203228341,3.0477681269375845,1.1942608738214684,10.0,500.0,2000.0,-1.111647171789185,1.853507253116116
38.43991089446405,5.8518799608451335,0.1899093801961403,0.1650962374334231,0.507399763108472,0.1667614671539504,3.1585055062958283,1.1951053796771538,10.0,500.0,2000.0,-1.0283439125232035,1.9634001266186745
39.0250146187269,8.25161513328721,1.030651122084284,0.5716027601762832,0.10786140476331285,0.15258705801836564,2.9935561935005177,1.2114228386053554,10.0,500.0,2000.0,-1.0588357805869897,1.7821333548951623
37.479079997792155,3.6191813761191387,1.6554881426359156,0.5485508413375577,0.22868456199136158,0.1563765419178387,3.1127864515046304,1.2152152576141007,10.0,500.0,2000.0,-1.058838715696262,1.8975711938905298
38.19885980644852,9.112693651139306,0.810353931261142,1.8243452954549944,0.17834540000155122,0.13338415818247165,3.037667578709307,1.2206078395767437,10.0,500.0,2000.0,-1.087223681394272,1.8170597391325634
35.329560844528565,4.155854145764698,1.8682338750318197,1.2136591817736553,0.19927880331445272,0.12287421561198388,3.1324884768324157,1.2446010389843936,10.0,500.0,2000.0,-1.1217268233724096,1.8878874378480222
35.04312960349811,9.43767278401591,0.703982316478298,1.6481263599106728,0.12434751790740906,0.11921143374350435,3.11049349586935,1.2476167591182834,10.0,500.0,2000.0,-1.128405325374779,1.8628767367510666
38.29775446903038,5.441718691099803,0.20015248871888325,0.9221664546749017,0.585027839610861,0.1103314528559241,3.226435549249924,1.269294238728776,10.0,500.0,2000.0,-1.158962785872852,1.9571413105211481
35.442983020146805,9.27775756924444,0.020675361757136367,0.6680791489353125,1.5813395355679958,0.1154744350258468,2.7557422297657497,1.2774777390654168,10.0,500.0,2000.0,-1.16200330403957,1.4782644907003328
38.929661542712466,6.582617712702049,0.48777639390687644,0.6689064129558562,0.6373803955355646,0.09702092659704944,3.0856551837659163,1.2809215525310955,10.0,500.0,2000.0,-1.183900625934046,1.8047336312348208
39.35978195421935,4.269620195898906,0.3243047310149562,1.9596432643204602,0.7778171200646853,0.13895735410528567,3.2518795981884243,1.2841559063985477,10.0,500.0,2000.0,-1.145198552293262,1.9677236917898766
39.808685403790285,8.726749549830416,1.5171950182200278,1.168919277129219,0.47782848517729115,0.11588342961020122,3.2483944933813373,1.28430566261638,10.0,500.0,2000.0,-1.1684222330061789,1.9640888307649573
38.84103658459211,5.496040118551145,0.9025087591832507,0.8160713066857085,0.49379352654199815,0.13224360793626083,3.1528833719870377,1.2908936227595114,10.0,500.0,2000.0,-1.1586500148232506,1.8619897492275264
39.001218882418165,7.760525919370627,1.584278713894461,0.4174377273464891,0.31099228124208866,0.12181569121522447,3.106629804026646,1.2933887371778847,10.0,500.0,2000.0,-1.1715730459626603,1.8132410668487613
38.940004589876246,6.704521452466185,0.6042615124499572,0.10670298286815935,0.6658966924274733,0.15181551552055977,3.1470141070099857,1.3051053332090696,10.0,500.0,2000.0,-1.1532898176885098,1.841908773800916
37.61489989094448,3.4128833486569214,1.2669513388695792,0.23367571696351913,0.704251355560281,0.12570380969003858,3.2495955398499143,1.3474469315617694,10.0,500.0,2000.0,-1.221743121871731,1.902148608288145
39.86691693684161,6.745712247623208,1.7981106666387696,1.1450642077730195,0.6947507896815427,0.12109049710005071,3.2876703151086892,1.3494832215128758,10.0,500.0,2000.0,-1.2283927244128252,1.9381870935958134
38.75315934247331,4.804336912624631,0.8975448413517703,0.6833777465575018,0.7369343136675102,0.1479294474598076,3.2953631342575567,1.353057464060953,10.0,500.0,2000.0,-1.2051280166011453,1.9423056701966037
38.73795859709794,8.84070357811417,0.6644646411861557,1.356035915455742,0.7417872354573822,0.11020370592220348,3.3609726642543047,1.3593064678620292,10.0,500.0,2000.0,-1.2491027619398258,2.0016661963922755
38.077311591428916,4.139802582957371,1.2311694059255858,0.7450882085165713,0.7366980523993207,0.15768498435073833,3.263017985514132,1.3600794156189264,10.0,500.0,2000.0,-1.202394431268188,1.9029385698952057
37.91501120277054,4.517799844909055,0.6211881118060897,0.4370312202015988,0.8098329452310611,0.16776301893748682,3.3795831827136906,1.3709367695177819,10.0,500.0,2000.0,-1.203173750580295,2.0086464131959088
38.491723413863234,7.986493194648034,1.296927732096159,0.27769019872669287,0.0195770396732712,0.10707118941165814,3.5436539673102416,1.3757333178505258,10.0,500.0,2000.0,-1.2686621284388677,2.167920649459716
35.26325534188449,3.376843701446828,0.5261040374236301,0.12278561863348213,0.9573579432539691,0.1318817196444148,3.4591574046602123,1.3861364389628013,10.0,500.0,2000.0,-1.2542547193183864,2.073020965697411
39.679186878714845,6.181798482204707,1.7725277172308085,0.7095249410256472,0.8579665619419257,0.12315187934947569,3.500556330750772,1.4035512794249114,10.0,500.0,2000.0,-1.2803994000754357,2.0970050513258607
38.33145388580688,3.5310636666963933,1.623834970558714,1.3336572221435459,0.9809420120986051,0.1770370938624976,3.5382841048308764,1.4507583687381,10.0,500.0,2000.0,-1.2737212748756024,2.0875257360927764
38.375300459037774,6.618559021198369,1.497109516222679,0.8779319406455489,0.8282471085564458,0.1324918977858734,3.450846977458983,1.4522360476195744,10.0,500.0,2000.0,-1.319744149833701,1.9986109298394086
37.966579851910474,8.039378746600697,0.048695277870376225,1.7847000228516794,0.8873056335999883,0.13467128553546454,3.6487408261214673,1.484181336914613,10.0,500.0,2000.0,-1.3495100513791485,2.1645594892068543
39.5692810129729,7.9338187763650545,0.44548568743457145,0.2983101356235296,1.2412812035459875,0.14295423508287486,3.5742847938475437,1.4852820064566394,10.0,500.0,2000.0,-1.3423277713737645,2.0890027873909043
39.3223210299671,3.0936515345515483,1.6139209980387477,1.4993836433086412,1.0712656522153527,0.14875255590657258,3.563164787901675,1.4904180476787798,10.0,500.0,2000.0,-1.3416654917722073,2.072746740222895
36.15546037545607,4.436925968419639,1.9896228327922711,1.3736814189633841,0.6045597513577803,0.16973980200670002,3.6720943218364477,1.4925600924041302,10.0,500.0,2000.0,-1.3228202903974302,2.1795342294323174
35.69723022954179,6.36864830438917,0.07893236134745649,1.9681771236777805,0.6463857094640099,0.12264921557269039,3.6703614701938143,1.5024109829951513,10.0,500.0,2000.0,-1.379761767422461,2.167950487198663
35.05361022849139,4.1848129540582155,0.46603758432042725,1.6832403956268922,1.1991969740090587,0.13702395437565518,3.643799944582241,1.5074510557337593,10.0,500.0,2000.0,-1.370427101358104,2.136348888848482
39.057443445011906,8.904911155491329,1.4053075781612967,1.036139170182622,1.114584824973644,0.138963607831768,3.6560590723784263,1.5079575477503153,10.0,500.0,2000.0,-1.3689939399185473,2.148101524628111
37.07165749951126,3.8250989643004925,1.0279700716234055,0.5944852436037158,1.1960739040416932,0.15512441367495394,3.7091713727615647,1.5221407147746822,10.0,500.0,2000.0,-1.3670163010997283,2.187030657986883
37.585454108092996,5.046521286599939,0.17488069818864793,1.6012791285990207,0.9767078436483597,0.1324956794850706,3.703520584184242,1.5318303056776241,10.0,500.0,2000.0,-1.3993346261925534,2.1716902785066177
39.26305079980422,3.5114812461487745,0.7775249239269931,1.92144874897987,1.2920484361235012,0.15877579182740725,3.5932770777383176,1.5320001418355724,10.0,500.0,2000.0,-1.3732243500081651,2.061276935902745
38.970795101554366,7.442759970898937,0.9383111135772022,0.051683851956587805,1.159167716522762,0.1737590805871286,3.676116760492536,1.540772793161351,10.0,500.0,2000.0,-1.3670137125742226,2.1353439673311847
37.140268064607405,3.1646631347577427,0.7391239246842554,1.1369142101586491,1.3663390209351511,0.15191369899685167,3.765691199781197,1.57214247927888,10.0,500.0,2000.0,-1.4202287802820284,2.1935487205023168
39.15491659444556,5.346153334422668,1.4054786111641098,1.720237573305189,1.2826349615763293,0.1473373236501755,3.762044604875939,1.5721668635325519,10.0,500.0,2000.0,-1.4248295398823765,2.189877741343387
39.92574963411759,9.48949202979066,1.5864170573870708,0.9482127023272333,1.294633986901527,0.1544836611424633,3.7837418477862976,1.576441707983617,10.0,500.0,2000.0,-1.4219580468411537,2.2073001398026806
35.91718654803363,9.367649423817845,0.359891403317426,1.4789668416597122,1.0478814964470455,0.12788499180004337,3.923070855873167,1.5842814102300862,10.0,500.0,2000.0,-1.4563964184300429,2.338789445643081
38.517370632971996,5.74271453118344,1.969345554478685,0.5073416474146476,1.1342368877163507,0.1782459392392378,3.8268022222054454,1.6039989273616486,10.0,500.0,2000.0,-1.425752988122411,2.222803294843797
35.213347238469794,9.4875751623524,0.7964094048819699,0.2529102769690843,1.1869914872615468,0.10821741788553918,3.8360989541212875,1.617916911364304,10.0,500.0,2000.0,-1.5096994934787649,2.2181820427569834
35.25594576744887,9.402768780556489,1.6686377074670642,1.5436715507753958,0.9992538664344244,0.15728798919067907,3.877579616425687,1.6312078194815036,10.0,500.0,2000.0,-1.4739198302908245,2.2463717969441834
