id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur,projected_pilot_Y,measured_pilot_Y,cumulative_best_projected_pilot_Y,cumulative_best_T,cumulative_best_pH,cumulative_best_F1,cumulative_best_F2,cumulative_best_F3,best_projected_pilot_Y,best_T,best_pH,best_F1,best_F2,best_F3
519018,2026-07-11T11:00:35.498772+00:00,micro,60.0,3.0,2.0,0.0,0.0,0.1454884772756213,10,1.461127629618646,1.165256329802678,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519020,2026-07-11T11:00:35.710973+00:00,micro,60.0,3.0,2.0,0.0,2.0,0.1863107167173337,10,1.87110169126338,1.967178099380612,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519022,2026-07-11T11:00:35.997799+00:00,micro,60.0,3.0,2.0,2.0,0.0,0.1825446355829145,10,1.8332792787677101,1.1619899313647557,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519025,2026-07-11T11:00:36.237628+00:00,micro,60.0,3.0,2.0,2.0,2.0,0.2225133302120978,10,2.234681266994277,1.960252871419412,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519027,2026-07-11T11:00:36.432453+00:00,micro,60.0,9.5,0.0,0.0,0.0,0.0810331429835925,10,0.8138085320933173,0.6429502719028216,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519029,2026-07-11T11:00:36.642745+00:00,micro,60.0,9.5,0.0,0.0,2.0,0.1736809079687406,10,1.7442616633455068,0.9556074106734656,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519031,2026-07-11T11:00:36.900040+00:00,micro,60.0,9.5,0.0,2.0,0.0,0.1182987972553846,10,1.1880641302818855,0.6471307393036104,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519033,2026-07-11T11:00:37.105014+00:00,micro,60.0,9.5,0.0,2.0,2.0,0.1635244249177436,10,1.6422610218964133,0.959030035836244,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519035,2026-07-11T11:00:37.323047+00:00,micro,60.0,9.5,2.0,0.0,0.0,0.1372237389071615,10,1.3781256090610396,1.1673040238531565,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
519037,2026-07-11T11:00:37.527163+00:00,micro,60.0,9.5,2.0,0.0,2.0,0.2098558633468402,10,2.107563471110181,1.9643648565760508,2.332181595009585,20.0,3.0,2.0,2.0,2.0,2.3321815950095846,20.0,3.0,2.0,2.0,2.0
