id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur
184435,2026-07-01T18:43:42.135003+00:00,pilot,20,3,0,0,0,0.6425198898291061,2000
184436,2026-07-01T18:43:42.251868+00:00,pilot,20,3,0,0,2,0.9541062960345218,2000
184437,2026-07-01T18:43:42.336046+00:00,pilot,20,3,0,2,0,0.6514112474590125,2000
184438,2026-07-01T18:43:42.426198+00:00,pilot,20,3,0,2,2,0.9556087665351523,2000
184439,2026-07-01T18:43:42.522630+00:00,pilot,20,3,2,0,0,1.1617652214917948,2000
184441,2026-07-01T18:43:42.648552+00:00,pilot,20,3,2,0,2,1.961583742623295,2000
184442,2026-07-01T18:43:42.741564+00:00,pilot,20,3,2,2,0,1.1575729265355845,2000
184443,2026-07-01T18:43:42.839080+00:00,pilot,20,3,2,2,2,1.967499613508521,2000
184444,2026-07-01T18:43:42.955496+00:00,pilot,20,9.5,0,0,0,0.6402200201758029,2000
184445,2026-07-01T18:43:43.045610+00:00,pilot,20,9.5,0,0,2,0.9453677809065293,2000
184446,2026-07-01T18:43:43.133327+00:00,pilot,20,9.5,0,2,0,0.6399810100975466,2000
184447,2026-07-01T18:43:43.219830+00:00,pilot,20,9.5,0,2,2,0.9649713930415958,2000
184448,2026-07-01T18:43:43.304747+00:00,pilot,20,9.5,2,0,0,1.1677661087440852,2000
184449,2026-07-01T18:43:43.419509+00:00,pilot,20,9.5,2,0,2,1.9651603111175941,2000
184450,2026-07-01T18:43:43.751463+00:00,pilot,20,9.5,2,2,0,1.1608372984501716,2000
184451,2026-07-01T18:43:43.834650+00:00,pilot,20,9.5,2,2,2,1.9597511631934157,2000
184452,2026-07-01T18:43:43.927140+00:00,pilot,60,3,0,0,0,0.6468276070339459,2000
184453,2026-07-01T18:43:44.037705+00:00,pilot,60,3,0,0,2,0.9506164959669093,2000
184454,2026-07-01T18:43:44.373976+00:00,pilot,60,3,0,2,0,0.6467256224353205,2000
184455,2026-07-01T18:43:44.464722+00:00,pilot,60,3,0,2,2,0.9578042709646618,2000
184456,2026-07-01T18:43:44.552882+00:00,pilot,60,3,2,0,0,1.1764827325996956,2000
184457,2026-07-01T18:43:44.709138+00:00,pilot,60,3,2,0,2,1.9594788376829348,2000
184458,2026-07-01T18:43:44.803856+00:00,pilot,60,3,2,2,0,1.1620608674499124,2000
184459,2026-07-01T18:43:44.897532+00:00,pilot,60,3,2,2,2,1.947537201507384,2000
184460,2026-07-01T18:43:44.983142+00:00,pilot,60,9.5,0,0,0,0.6500760981755712,2000
184461,2026-07-01T18:43:45.106743+00:00,pilot,60,9.5,0,0,2,0.952526869726171,2000
184462,2026-07-01T18:43:45.453388+00:00,pilot,60,9.5,0,2,0,0.6505393784548446,2000
184463,2026-07-01T18:43:45.548907+00:00,pilot,60,9.5,0,2,2,0.9540025943233278,2000
184464,2026-07-01T18:43:45.643949+00:00,pilot,60,9.5,2,0,0,1.1632866423594999,2000
184465,2026-07-01T18:43:45.739169+00:00,pilot,60,9.5,2,0,2,1.9619643973136711,2000
184508,2026-07-01T18:44:50.614322+00:00,pilot,60,9.5,2,2,0,1.1637122200193235,2000
184509,2026-07-01T18:44:50.714433+00:00,pilot,60,9.5,2,2,2,1.967354818241075,2000
184511,2026-07-01T18:44:52.612174+00:00,pilot,39.47465687162008,5.651241317549449,1.9822228531451058,0.6563204010120616,1.9919725555558296,1.9604960740818729,2000
184512,2026-07-01T18:44:54.395875+00:00,pilot,59.89672909597165,8.287068141954972,1.9907285956405956,1.0212076487732886,1.9982160016375812,1.965889686044219,2000
184514,2026-07-01T18:44:56.294849+00:00,pilot,37.42022178672749,9.183856021490904,1.9980139393153884,1.5708037062164046,1.9668339974715432,2.2190379457278344,2000
184515,2026-07-01T18:44:58.076521+00:00,pilot,41.08662887349937,7.231969157906417,1.9634303497206784,1.5033780446382765,1.9908528328043047,1.9537090812121338,2000
184517,2026-07-01T18:45:00.313147+00:00,pilot,41.08118587571614,7.444988285507826,1.99878584890815,1.0458327431493573,1.947748303350794,1.9261518732362264,2000
184518,2026-07-01T18:45:02.334927+00:00,pilot,33.863647466268986,9.186012147291748,1.9941391974172087,0.8661921538213648,1.9507361333783388,2.208857199576329,2000
184520,2026-07-01T18:45:04.220225+00:00,pilot,30.70788276883708,8.67961698598075,1.9962988081868354,0.9323021300123164,1.9750309833643913,1.957560557381765,2000
184521,2026-07-01T18:45:06.392234+00:00,pilot,45.981803315219864,9.283816862412841,1.9977417498938694,0.9390626211522133,1.9905938940811687,1.9560119550520483,2000
184522,2026-07-01T18:45:08.249625+00:00,pilot,41.351651182976184,8.896182176284643,1.988774340099299,1.1271570758393892,1.986841640239851,1.9555494807219382,2000
184524,2026-07-01T18:45:10.274441+00:00,pilot,32.04699928362608,5.343570385041154,1.9906142052615936,1.2715161316644341,1.9981131358840443,2.0433077094408523,2000
184525,2026-07-01T18:45:12.413051+00:00,pilot,35.559515159924274,6.922975205545475,1.996989086750481,1.812880113962057,1.9745163490742723,4.722181132690343,2000
184526,2026-07-01T18:45:14.582377+00:00,pilot,37.5275014639604,6.079876856314003,1.998093127697728,1.8370177640894967,1.6831569046102068,2.173881549190002,2000
184528,2026-07-01T18:45:16.715764+00:00,pilot,35.497532740855725,4.438512955105633,1.439968116337643,1.9996333815150593,1.8099185714247856,2.0458331107057885,2000
184529,2026-07-01T18:45:18.897085+00:00,pilot,32.9214529177263,6.84360074127906,1.9807148580676197,1.6632309335764586,1.9858320998024825,2.176984443056617,2000
184531,2026-07-01T18:45:21.415921+00:00,pilot,41.53581037597995,6.082292779154987,1.980084789764467,1.6232655901394897,1.9863567872077608,1.9580278861418952,2000
184533,2026-07-01T18:45:23.432401+00:00,pilot,36.432910347595204,5.616488645341432,1.9777272265407426,1.844299067822696,1.9912725193419494,4.587476381097605,2000
184534,2026-07-01T18:45:26.034741+00:00,pilot,33.71342945750438,5.491201717779852,1.966485091890368,1.8613265467786841,1.9279527260876326,2.6781476763662284,2000
184538,2026-07-01T18:45:28.157137+00:00,pilot,55.389373766027845,7.066247473818712,1.9827963460734082,1.843531538729885,1.9706684606700078,1.9365190242668153,2000
184556,2026-07-01T18:45:30.824623+00:00,pilot,35.93938922626329,3.977664473609295,1.969826885075795,1.1970822867144761,1.9917705887387958,1.9790097851379747,2000
184568,2026-07-01T18:45:33.188185+00:00,pilot,35.498167907585724,5.334925250133784,1.971193184931711,1.8664109904073978,1.9583939162958603,4.54161232147027,2000
184569,2026-07-01T18:45:35.572475+00:00,pilot,35.92410260040325,5.230247272908939,1.9617332959311498,1.8833654339336436,1.9947680220793134,4.459040452600612,2000
184571,2026-07-01T18:45:37.671430+00:00,pilot,34.07351787574513,6.20847162963834,1.9945587454549163,1.8511151199458082,1.9595671890023347,2.464315969730064,2000
184572,2026-07-01T18:45:40.006216+00:00,pilot,26.939204914450364,5.210223480272431,1.9824461726146603,1.7766948033805212,1.9659746254056325,1.9434527603600837,2000
184573,2026-07-01T18:45:42.216899+00:00,pilot,39.78688461370592,6.689168884384272,1.9944601302708693,1.865940434296207,1.9712274129865055,1.9487593541712915,2000
184575,2026-07-01T18:45:44.633598+00:00,pilot,37.51702749232925,4.5319442195150454,1.9962758047629523,1.947645899150493,1.9743159826637169,2.0546178681034672,2000
184576,2026-07-01T18:45:47.103163+00:00,pilot,29.070182638837537,4.470412599613315,1.9843629317649516,1.9925704068017747,1.9471458405465802,1.9313753043968855,2000
184577,2026-07-01T18:45:49.999065+00:00,pilot,39.17706479902165,6.141662729849873,1.9948877485180878,1.830723416129385,1.9857469726234833,1.9681862613382317,2000
184579,2026-07-01T18:45:52.915759+00:00,pilot,33.5759572503902,5.788338306919224,1.9249593827595424,1.9649063741184478,1.9432461173131643,2.488161805560394,2000
184580,2026-07-01T18:45:55.389487+00:00,pilot,34.00281160080645,5.8560162778115235,1.9899666765757382,1.9148621177066678,1.8887754707497089,2.6951408429405452,2000
184581,2026-07-01T18:45:58.105757+00:00,pilot,41.286534632573314,5.508377696327576,1.9653791114173536,1.85322748499059,1.9779488583799218,1.941786118303192,2000
184583,2026-07-01T18:46:00.651874+00:00,pilot,28.663915398360324,5.501167104934671,1.994992854485978,1.8768754737369808,1.9732561119175749,1.9396301014254658,2000
184584,2026-07-01T18:46:02.951757+00:00,pilot,36.02565837929834,7.759933349091478,1.9329377085164958,1.9232338810729963,1.7120805854333778,13.20860561972888,2000
184586,2026-07-01T18:46:05.876981+00:00,pilot,36.24587411183228,7.567701796922847,1.794087169991064,1.5154859966525018,1.6956676541658993,11.472327028366415,2000
184587,2026-07-01T18:46:08.956235+00:00,pilot,35.854715285121486,7.165361535769863,1.8989792904065204,1.7214058990330097,1.7064712277536984,6.606762227092555,2000
184588,2026-07-01T18:46:11.641071+00:00,pilot,35.97889850492472,7.912768131945091,1.526852965824075,1.598840680790972,1.8929446767223328,15.686982080332319,2000
184589,2026-07-01T18:46:14.074204+00:00,pilot,36.12036612416344,8.097085687588647,0.7647235189706347,1.7676705698109123,1.6312432423242529,13.897928711696157,2000
184591,2026-07-01T18:46:16.529175+00:00,pilot,35.73712702111404,7.994384070685814,1.3683608324486787,1.414649502490296,1.9728252923248273,16.48353990488571,2000
184592,2026-07-01T18:46:18.739825+00:00,pilot,35.06836526891918,8.107268748227632,1.7929939550955272,1.1768714917787704,1.962230712661951,14.16442969413334,2000
184593,2026-07-01T18:46:21.627240+00:00,pilot,35.78466685512953,8.02192770576585,1.6648385877371725,0.548811666113896,1.7172336366990608,19.494695517917787,2000
184595,2026-07-01T18:46:24.277388+00:00,pilot,36.1102644920292,8.141710542595987,1.7494725955397674,0.12152418640043972,1.6107175709625274,22.456337912162596,2000
184596,2026-07-01T18:46:27.627794+00:00,pilot,35.9806783848843,8.386517174366116,1.7443490684724705,0.09559400749745195,1.9298696182236998,20.834291620821595,2000
184598,2026-07-01T18:46:29.834063+00:00,pilot,36.33522123339906,8.387903422739978,1.7880701774449215,0.011983759163907148,1.4469918394469088,9.107307229149948,2000
184599,2026-07-01T18:46:32.674799+00:00,pilot,35.728499817550485,8.112377143895337,1.6940573137066657,0.1808370863965918,1.792317080078095,22.71082265631868,2000
184601,2026-07-01T18:46:35.294452+00:00,pilot,36.09324714069382,8.299598457979464,1.5785372330392866,0.4230224181809714,1.7708174070400304,19.26708619900125,2000
184611,2026-07-01T18:46:38.123386+00:00,pilot,35.08347258619551,8.086818167423203,1.294320222125555,0.03644037011024426,1.816358514302306,17.645968497078805,2000
184630,2026-07-01T18:46:40.465189+00:00,pilot,38.41605451216243,9.18237494954256,1.6242277245029362,0.05388699007689923,1.8932901073582182,1.9278241740563165,2000
184635,2026-07-01T18:46:43.157706+00:00,pilot,35.83019062613229,8.16113646641773,1.3524750968809616,0.01921822516541849,1.9263232572272615,15.184652097681312,2000
184636,2026-07-01T18:46:45.672279+00:00,pilot,35.61074059583636,9.247236909586416,1.7467715908252346,0.4305990873521004,1.6946371534401992,2.3924528767555016,2000
184638,2026-07-01T18:46:48.589850+00:00,pilot,50.4290132864234,8.184040628965386,1.7489267310056822,0.08105111011503152,1.566408503594223,1.7084059471112572,2000
184639,2026-07-01T18:46:51.408615+00:00,pilot,31.5670156880558,8.341396632262269,1.5233549743256753,1.1172980572520044,0.3343553922422011,1.287814745735547,2000
184641,2026-07-01T18:46:54.502265+00:00,pilot,36.429164770104634,8.042357512313473,1.6243465956860357,0.468758085061888,1.7810340404465428,18.79180172202473,2000
184642,2026-07-01T18:46:57.008653+00:00,pilot,35.72844945596449,7.890634091692223,1.6481439667084288,0.19053706338921939,1.780572077703349,21.656489273163707,2000
184643,2026-07-01T18:46:59.433953+00:00,pilot,35.629026597537674,7.97650683933113,1.6834364713622583,0.0004017676891645561,1.7171534267956936,3.0374161686948717,2000
184647,2026-07-01T18:47:02.917817+00:00,pilot,36.14540296567702,8.115387715497777,1.9780029180005332,0.37398197559979285,0.8562251426560079,17.184310503005744,2000
184648,2026-07-01T18:47:06.035931+00:00,pilot,36.02691546212415,7.681056321792073,1.4962140831135737,0.16145207081755508,1.5763828791801517,18.773037632229286,2000
184650,2026-07-01T18:47:08.737851+00:00,pilot,36.01321323937927,7.9284781121162275,1.3699448913602843,0.6068838393463314,1.7693038436301987,19.147451938405432,2000
184651,2026-07-01T18:47:11.214498+00:00,pilot,36.15278200054654,7.952865632348832,1.3901885320326253,0.4220089129127078,1.9911534327669633,21.54615090452289,2000
184653,2026-07-01T18:47:14.096956+00:00,pilot,36.35734051861691,8.076302940086808,1.409928158683879,0.3984977938203338,1.980176699423818,20.920586278391866,2000
184654,2026-07-01T18:47:16.916359+00:00,pilot,34.85640992197385,8.112978431478911,1.4655146341377958,0.19918862472879684,1.7747508238642058,16.177192004384686,2000
184656,2026-07-01T18:47:19.837338+00:00,pilot,36.27216867970586,7.985635303283791,1.3248560987595426,0.4423110820501681,1.8076976849608244,19.937858427321654,2000
184657,2026-07-01T18:47:22.636913+00:00,pilot,35.8673290341215,8.028345148596824,1.6036081583279274,0.482214258423731,1.8377390987225204,20.76791450206338,2000
184658,2026-07-01T18:47:25.113061+00:00,pilot,36.54992412695258,8.097104778369347,1.3212439681274084,0.44828224730885236,1.9669381642773562,18.552875196871756,2000
184660,2026-07-01T18:47:27.430640+00:00,pilot,36.19675237052343,8.036248917380492,1.0752349041309532,0.5965876520701834,1.9067343681365712,19.767715209556236,2000
184661,2026-07-01T18:47:30.278871+00:00,pilot,36.30070361228468,8.028208916033194,1.471941798067587,0.4874618347502837,1.8932508859920727,20.13836931672838,2000
184663,2026-07-01T18:47:33.293045+00:00,pilot,36.9937504498029,8.055121400511315,1.2261528672869833,0.5337561088839944,1.7649842134142115,11.537566725778868,2000
184664,2026-07-01T18:47:36.367528+00:00,pilot,35.76029823480397,8.010415488130096,1.3866302242459454,0.30540018021525484,1.8990998328412234,22.049902274889984,2000
184665,2026-07-01T18:47:39.312017+00:00,pilot,36.5282741379324,8.04194566526779,1.631781787262641,0.2825780481798317,1.898057048141966,19.780768668978798,2000
184666,2026-07-01T18:47:42.262154+00:00,pilot,36.03271237856517,8.056062750532984,1.6517972957163258,0.4978172307682933,1.924298032795982,21.40359212019204,2000
184668,2026-07-01T18:47:45.167913+00:00,pilot,36.094669641573915,8.013405206453498,1.3659158712040436,0.2437271132061909,1.8705254875677624,22.789972540316416,2000
184674,2026-07-01T18:47:47.805967+00:00,pilot,36.077769286773446,8.06761356813439,1.3515756987085694,0.1272655124808446,1.832371967735059,23.658404333422887,2000
184700,2026-07-01T18:47:50.891392+00:00,pilot,36.20805145726803,8.033124531859851,1.5841043185207648,0.1318533566681115,1.7448267885309487,22.71871854996651,2000
184701,2026-07-01T18:47:53.680315+00:00,pilot,35.647619877484914,7.9676069038875745,1.4703818668079152,0.46901895404596594,1.877277303593481,20.089567418255054,2000
184703,2026-07-01T18:47:57.111862+00:00,pilot,36.21203867743277,7.993081650677114,1.3681790218415306,0.34444447179439885,1.9509238663957056,21.889305526647824,2000
184704,2026-07-01T18:48:00.271080+00:00,pilot,35.98236200671994,8.015900580853875,1.3059168847422165,0.06952235666489637,1.9528781397555808,24.11611975820132,2000
184706,2026-07-01T18:48:03.805743+00:00,pilot,36.17301281098392,7.960477387638455,1.2595209039660824,0.2423472513112046,1.6439100672387328,20.969226670600364,2000
184707,2026-07-01T18:48:07.119859+00:00,pilot,35.78018816328165,8.088264455113745,1.114671325826152,0.5264693027586851,1.7101106782130004,19.34625640863507,2000
184708,2026-07-01T18:48:10.408041+00:00,pilot,35.75969483124929,8.096706346307045,1.0089328467233372,0.13021741396991593,1.9469537505827228,23.694448850712607,2000
