id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur
761453,2026-07-14T00:47:37.032051+00:00,micro,20,3,0,0,0,0.08273939907996991,10
761454,2026-07-14T00:47:37.223410+00:00,micro,20,3,0,0,2,0.1373362224831359,10
761455,2026-07-14T00:47:37.340089+00:00,micro,20,3,0,2,0,0.07390315112934637,10
761456,2026-07-14T00:47:37.512587+00:00,micro,20,3,0,2,2,0.17230707742695886,10
761457,2026-07-14T00:47:37.633252+00:00,micro,20,3,2,0,0,0.09892351816195781,10
761458,2026-07-14T00:47:37.803636+00:00,micro,20,3,2,0,2,0.19761995851888264,10
761459,2026-07-14T00:47:37.925071+00:00,micro,20,3,2,2,0,0.12817768306191935,10
761460,2026-07-14T00:47:38.099037+00:00,micro,20,3,2,2,2,0.23357358736517184,10
761461,2026-07-14T00:47:38.224516+00:00,micro,20,9.5,0,0,0,0.06940978228352335,10
761462,2026-07-14T00:47:38.342784+00:00,micro,20,9.5,0,0,2,0.1793448371992089,10
761463,2026-07-14T00:47:38.520124+00:00,micro,20,9.5,0,2,0,0.07054649631676713,10
761464,2026-07-14T00:47:38.644232+00:00,micro,20,9.5,0,2,2,0.15878704126462373,10
761507,2026-07-14T00:48:43.420248+00:00,micro,20,9.5,2,0,0,0.11662874558932763,10
761508,2026-07-14T00:48:43.546298+00:00,micro,20,9.5,2,0,2,0.22643018080091606,10
761509,2026-07-14T00:48:43.722953+00:00,micro,20,9.5,2,2,0,0.09799928887521864,10
761510,2026-07-14T00:48:43.916298+00:00,micro,20,9.5,2,2,2,0.1875975563952999,10
761511,2026-07-14T00:48:44.534216+00:00,micro,60,3,0,0,0,0.13803627780435088,10
761513,2026-07-14T00:48:44.739056+00:00,micro,60,3,0,0,2,0.1564526264264109,10
761515,2026-07-14T00:48:44.945633+00:00,micro,60,3,0,2,0,0.10586515576947468,10
761517,2026-07-14T00:48:45.222781+00:00,micro,60,3,0,2,2,0.16227118231283835,10
761519,2026-07-14T00:48:45.442837+00:00,micro,60,3,2,0,0,0.10352280534443026,10
761521,2026-07-14T00:48:45.722277+00:00,micro,60,3,2,0,2,0.2000320306265804,10
761523,2026-07-14T00:48:45.934824+00:00,micro,60,3,2,2,0,0.12330239665835858,10
761525,2026-07-14T00:48:46.213953+00:00,micro,60,3,2,2,2,0.18549133020882633,10
761527,2026-07-14T00:48:46.432958+00:00,micro,60,9.5,0,0,0,0.10834978701930979,10
761529,2026-07-14T00:48:46.702974+00:00,micro,60,9.5,0,0,2,0.12936901476691673,10
761531,2026-07-14T00:48:46.923865+00:00,micro,60,9.5,0,2,0,0.13910222360984353,10
761533,2026-07-14T00:48:47.206268+00:00,micro,60,9.5,0,2,2,0.13812532528231156,10
761535,2026-07-14T00:48:47.412146+00:00,micro,60,9.5,2,0,0,0.1129581272767057,10
761537,2026-07-14T00:48:47.696285+00:00,micro,60,9.5,2,0,2,0.2000920307561023,10
761539,2026-07-14T00:48:47.909063+00:00,micro,60,9.5,2,2,0,0.11985027177014367,10
761541,2026-07-14T00:48:48.113659+00:00,micro,60,9.5,2,2,2,0.22600016973152542,10
761547,2026-07-14T00:48:48.912369+00:00,bench,20.42455346274407,8.02114839470456,1.9914648822083085,1.0550805653296569,1.863634747223151,4.348862027181004,500
761550,2026-07-14T00:48:49.805833+00:00,bench,23.29055950607138,5.418797384409082,1.9980939044069979,1.5807120232587326,1.9966819056019804,4.425029175878255,500
761551,2026-07-14T00:48:50.647781+00:00,micro,24.822349607351512,8.24547301352503,0.9116937611626137,1.9031650273332188,1.0022360718702201,0.13610512340618303,10
761556,2026-07-14T00:48:51.509440+00:00,bench,59.66390969326569,7.245492860790126,1.9995491696702958,0.8807076118343347,1.7044306845655601,4.095963294730003,500
761560,2026-07-14T00:48:52.425811+00:00,micro,23.748837339438257,8.803453112499485,1.9954268238367912,1.4775018061599843,1.849262293930301,0.18238840445043572,10
761561,2026-07-14T00:48:53.312825+00:00,bench,21.877340728076057,3.218576920544347,1.9519414798134964,1.4858927069194765,1.632996563502309,4.115767187552923,500
761563,2026-07-14T00:48:54.109795+00:00,bench,26.45599986324104,8.489959228828415,1.9692331251247894,0.18256884609104174,1.9699582404938456,4.401805117930371,500
761564,2026-07-14T00:48:55.034938+00:00,bench,48.88368403717644,9.39261602122227,1.973466513143816,0.7483762733259798,1.999476744463262,4.474400302847307,500
761565,2026-07-14T00:48:55.927729+00:00,bench,58.39649066109803,4.753238657611413,1.9995564880173393,1.8644656471622847,1.9250088174903006,4.263728234175196,500
761566,2026-07-14T00:48:56.912355+00:00,bench,52.32592975961347,4.849587562623137,0.7101799960001702,0.2514992649617511,0.5339524372843103,3.0905913853214977,500
761603,2026-07-14T00:50:02.409726+00:00,bench,20.471642826028045,6.517759427491784,1.93411301924082,1.0764581545638396,1.9779075205078238,4.435070142840354,500
761605,2026-07-14T00:50:03.332827+00:00,bench,23.823879593954093,8.466838113447519,1.9934927742720385,0.0010501362240380452,1.6966411872510034,4.008763963806454,500
761608,2026-07-14T00:50:04.123308+00:00,pilot,25.382226320502532,9.42029175918567,1.9879228772158972,1.7771717981455994,1.9823511710904989,1.9491118091635742,2000
761610,2026-07-14T00:50:05.147891+00:00,bench,48.219276612340295,8.479267347243653,1.9940028206709153,0.8034438437053599,1.863708738194344,4.246090499299431,500
761613,2026-07-14T00:50:06.199560+00:00,bench,59.169800152179086,8.81437309721322,0.12161361757925016,0.5214414392636584,0.15480469180243883,2.7226151818552733,500
761616,2026-07-14T00:50:07.396271+00:00,bench,23.74444357871276,5.884814737130986,1.4466224459247385,1.4503696670820496,1.8311056387003253,4.275219947268416,500
761620,2026-07-14T00:50:08.619187+00:00,bench,58.05334918599716,6.890655125431474,1.9980701788413398,0.8711507990661846,1.9998589271215554,4.490363283263082,500
761636,2026-07-14T00:50:09.909798+00:00,bench,28.17026664299647,3.9444096140473484,1.9999737370603194,0.41632249494606244,1.8669968326916766,4.352504973610136,500
761638,2026-07-14T00:50:11.035252+00:00,bench,20.028512494689924,5.551659224356804,1.5837737275279438,0.8565312058154841,1.934872597643117,4.351026911799623,500
761640,2026-07-14T00:50:12.117478+00:00,bench,34.824274484082466,7.370731918490954,1.8576908094622995,1.9982600749722177,1.954700389412352,11.931264042059347,500
761641,2026-07-14T00:50:13.443290+00:00,bench,34.63126814711675,7.093894789686248,1.7674819010789793,1.8843988386871822,1.766764281377245,8.110636396618657,500
761644,2026-07-14T00:50:14.916387+00:00,micro,33.77536844340585,3.7765395580072476,1.536731311236939,0.920582070725213,1.9547699836671384,0.18953251043710898,10
761646,2026-07-14T00:50:16.325083+00:00,bench,34.66009127104892,8.299349077233556,1.853847354863961,1.3915595568505414,1.9710983120578085,16.541803903689285,500
761648,2026-07-14T00:50:17.712313+00:00,bench,42.05348885913887,8.474061864208362,1.852865568070391,1.5910585585191732,1.99965488722524,4.453811989369436,500
761649,2026-07-14T00:50:19.161044+00:00,bench,31.750441599704263,8.268149853812211,1.7937886496370758,1.4095568749471428,1.838747373451131,4.518273607941752,500
761651,2026-07-14T00:50:20.696540+00:00,bench,36.898233194489606,8.297182393668612,1.5875000833916373,1.7049541625860911,1.9075631989196868,16.137196502960713,500
761652,2026-07-14T00:50:21.906480+00:00,micro,35.049436607090854,7.970537060549927,1.3403426549098183,1.42833692588446,1.9325008803165542,0.7440648210780808,10
761654,2026-07-14T00:50:23.318481+00:00,bench,36.91384881658543,7.969615933340288,1.1643820667881628,1.1461206651834632,1.7554454740753176,17.722140746412897,500
761655,2026-07-14T00:50:24.622549+00:00,micro,36.145421487808214,9.130597881251303,0.8972793935394783,1.416215667361331,1.8571074866950936,0.21891636351459343,10
761657,2026-07-14T00:50:26.021011+00:00,micro,34.03339860064678,7.9749413509166756,1.3208483756151723,1.354261102873336,1.9526325541501943,0.325713109172693,10
761662,2026-07-14T00:50:27.516212+00:00,micro,35.78823699796968,7.985820046254175,1.5622311497253867,1.6190119129513112,1.930402852954618,1.130881598753697,10
761666,2026-07-14T00:50:29.206841+00:00,micro,35.7933756451933,7.023285133273718,1.8130164685771737,1.98674617586125,1.465421153575996,0.2768970630953645,10
761669,2026-07-14T00:50:30.628786+00:00,micro,35.754426252961295,7.999978389942677,1.047117192996702,1.8519464296229946,1.8236484498853784,0.926614543005753,10
761671,2026-07-14T00:50:32.011514+00:00,micro,33.53658270562951,7.985473281645141,1.4464206413904381,1.4748015474943987,1.3171234026852081,0.24066438060784476,10
761674,2026-07-14T00:50:33.317940+00:00,micro,35.78883882884327,5.030628052230693,1.7879856579264606,1.3781949330776255,1.942577456591813,0.27601705066397864,10
761676,2026-07-14T00:50:34.747989+00:00,micro,36.06435475783626,7.97952940036011,1.661011863906183,1.21570473939372,0.899787299454782,0.7095073890774601,10
761679,2026-07-14T00:50:36.215169+00:00,micro,37.08875198406479,8.338219846243959,1.5263231375004362,0.9753501858895364,1.9317778204740306,0.44155153613028664,10
761680,2026-07-14T00:50:37.518758+00:00,micro,45.35083391217718,7.6997187908629945,1.7392199066252836,1.0321185318161308,1.9303124718365976,0.1986651616129786,10
761682,2026-07-14T00:50:39.143278+00:00,micro,35.01166734330646,8.194898783685574,1.563475061893305,1.6934937987949268,1.4433067958108565,0.6094063552110398,10
761684,2026-07-14T00:50:40.615679+00:00,micro,35.67851740006611,7.987564835483791,1.1418974513580393,1.3096991537698914,1.6755011239212372,0.8969674411009536,10
761687,2026-07-14T00:51:07.520427+00:00,micro,25.418478576480368,7.985896505803943,1.1850101007851235,0.8977687407080379,1.7587924970502582,0.19573420923453727,10
761689,2026-07-14T00:51:09.005012+00:00,micro,35.65657025410298,8.134378263912094,1.9622105061630941,1.871932581369145,1.8383599980153227,1.0585776419720596,10
