id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur
760189,2026-07-14T00:24:57.042592+00:00,micro,20,3,0,0,0,0.10358378013563606,10
760190,2026-07-14T00:24:57.228795+00:00,micro,20,3,0,0,2,0.16519590878243653,10
760191,2026-07-14T00:24:57.421268+00:00,micro,20,3,0,2,0,0.10841700219175157,10
760192,2026-07-14T00:24:57.541465+00:00,micro,20,3,0,2,2,0.1596642970946629,10
760193,2026-07-14T00:24:57.713881+00:00,micro,20,3,2,0,0,0.0898248374826916,10
760194,2026-07-14T00:24:57.834410+00:00,micro,20,3,2,0,2,0.21610032716209027,10
760196,2026-07-14T00:24:59.215740+00:00,micro,20,3,2,2,0,0.11639101209254606,10
760200,2026-07-14T00:25:03.113152+00:00,micro,20,3,2,2,2,0.21850581631006546,10
760201,2026-07-14T00:25:03.248236+00:00,micro,20,9.5,0,0,0,0.1323846273975338,10
760203,2026-07-14T00:25:04.522621+00:00,micro,20,9.5,0,0,2,0.16972077825508372,10
760207,2026-07-14T00:25:08.397009+00:00,micro,20,9.5,0,2,0,0.0860360719476353,10
760208,2026-07-14T00:25:08.518845+00:00,micro,20,9.5,0,2,2,0.11485083397806034,10
760211,2026-07-14T00:25:12.424095+00:00,micro,20,9.5,2,0,0,0.1351130627438325,10
760212,2026-07-14T00:25:12.597747+00:00,micro,20,9.5,2,0,2,0.20659589990516258,10
760216,2026-07-14T00:25:16.435212+00:00,micro,20,9.5,2,2,0,0.13949345975254812,10
760217,2026-07-14T00:25:16.603504+00:00,micro,20,9.5,2,2,2,0.2075940246719105,10
760249,2026-07-14T00:26:21.442224+00:00,micro,60,3,0,0,0,0.08342068168470342,10
760250,2026-07-14T00:26:21.627483+00:00,micro,60,3,0,0,2,0.18116355313522717,10
760251,2026-07-14T00:26:21.825818+00:00,micro,60,3,0,2,0,0.0826654982010261,10
760253,2026-07-14T00:26:22.023396+00:00,micro,60,3,0,2,2,0.10860130276312818,10
760254,2026-07-14T00:26:22.208463+00:00,micro,60,3,2,0,0,0.11435218766620707,10
760255,2026-07-14T00:26:22.330985+00:00,micro,60,3,2,0,2,0.21390080555339563,10
760256,2026-07-14T00:26:22.504525+00:00,micro,60,3,2,2,0,0.13084704960388127,10
760257,2026-07-14T00:26:22.646180+00:00,micro,60,3,2,2,2,0.21343084523840458,10
760258,2026-07-14T00:26:22.812000+00:00,micro,60,9.5,0,0,0,0.10281332306498488,10
760259,2026-07-14T00:26:22.935917+00:00,micro,60,9.5,0,0,2,0.10255919927167598,10
760260,2026-07-14T00:26:23.117444+00:00,micro,60,9.5,0,2,0,0.068827032497619,10
760261,2026-07-14T00:26:23.243456+00:00,micro,60,9.5,0,2,2,0.1809961985739461,10
760263,2026-07-14T00:26:23.436907+00:00,micro,60,9.5,2,0,0,0.13255851969899274,10
760264,2026-07-14T00:26:23.619999+00:00,micro,60,9.5,2,0,2,0.2006792852020458,10
760265,2026-07-14T00:26:23.741200+00:00,micro,60,9.5,2,2,0,0.09736773776803831,10
760266,2026-07-14T00:26:23.910449+00:00,micro,60,9.5,2,2,2,0.23138190718567836,10
760267,2026-07-14T00:26:24.726383+00:00,bench,41.383387899164404,5.807385589064614,1.9977779913312919,1.2954750495108864,1.7604095365838506,4.179954674202793,500
760269,2026-07-14T00:26:25.520099+00:00,bench,41.20720369563385,5.9167737360819626,1.9427838226314,1.5146632863393699,1.945226838237983,4.378400337885104,500
760271,2026-07-14T00:26:26.504123+00:00,bench,35.724539874685576,7.092076491093922,1.748479624106924,1.0729443662042353,1.999940572307496,12.53215107464954,500
760272,2026-07-14T00:26:27.515486+00:00,micro,35.26194972440055,9.178081080763596,1.0285036359474307,1.994758600274896,1.9662372269137793,0.2025275329390162,10
760274,2026-07-14T00:26:28.507536+00:00,micro,34.7031356969115,7.376375931244791,1.9167378838195603,1.0725033023638335,1.9483938359240136,0.40406581323094143,10
760277,2026-07-14T00:26:29.608416+00:00,micro,31.047105039769338,7.054857743763412,0.6417591177889872,0.5795451746241833,1.9300670798608879,0.2099672186790316,10
760282,2026-07-14T00:26:30.706348+00:00,bench,20.395077838897286,6.2715844218941115,1.3997889786710402,1.053537383257849,1.999924940055203,4.365913741197504,500
760283,2026-07-14T00:26:31.719232+00:00,bench,35.95019425583487,6.830809387498531,0.9965600670748667,0.9642325634651263,1.7519561464237958,8.475089018838679,500
760284,2026-07-14T00:26:32.813011+00:00,micro,36.40648641007307,7.194533730589039,1.2593145723214172,0.5641728243750646,1.7981811415810474,0.3708655330101064,10
