id,created_at,scale,T,pH,F1,F2,F3,Y,cost_eur,projected_pilot_Y,best_projected_pilot_Y,best_T,best_pH,best_F1,best_F2,best_F3,measured_pilot_Y
691240,2026-07-13T10:24:19.314281+00:00,micro,54.27425005601206,7.910811443299041,1.2355786630706591,1.5815947140868816,0.454061559960753,0.1436598569820653,10,2.629379210629771,2.629379210629771,54.27425005601206,7.910811443299041,1.2355786630706591,1.5815947140868816,0.454061559960753,1.264561356264389
691241,2026-07-13T10:24:19.441790+00:00,micro,57.89404237420015,4.09506847777654,1.803770241605131,1.744715325060301,0.3330888852714754,0.0794833121356362,10,1.4547680396725555,2.629379210629771,54.27425005601206,7.910811443299041,1.2355786630706591,1.5815947140868816,0.454061559960753,1.246966005147555
691242,2026-07-13T10:24:19.609194+00:00,micro,49.87382603729281,6.107434016930547,0.916621866203004,1.929799719847703,1.0821552854889265,0.1101213661647264,10,2.015530551974782,2.629379210629771,54.27425005601206,7.910811443299041,1.2355786630706591,1.5815947140868816,0.454061559960753,1.4608084094254383
691243,2026-07-13T10:24:19.807805+00:00,micro,45.231070594680006,6.66791167584296,1.6625103832606438,0.8936288176397829,1.1800120315896236,0.1572880850056789,10,2.8788140924108747,2.8788140924108747,45.231070594680006,6.66791167584296,1.6625103832606438,0.8936288176397829,1.1800120315896236,1.5273713681919645
691244,2026-07-13T10:24:19.921978+00:00,micro,23.935314847734123,6.510867847212534,1.0260996977759975,1.1677146075616878,1.5278700270985293,0.1598720997726093,10,2.9261088263112107,2.9261088263112107,23.935314847734123,6.510867847212534,1.0260996977759975,1.1677146075616878,1.5278700270985293,1.6624324035725115
691245,2026-07-13T10:24:20.105131+00:00,micro,52.922146974139736,6.968759002648477,1.3898112490711951,0.6817622163680988,1.819088761533164,0.1984280371667389,10,3.6317908613637973,3.6317908613637973,52.922146974139736,6.968759002648477,1.3898112490711951,0.6817622163680988,1.819088761533164,1.835083015315071
691246,2026-07-13T10:24:20.235929+00:00,micro,42.14217027272781,7.304545305608912,0.2249930725533247,1.2002767897188895,0.676498852324759,0.1480689272253122,10,2.7100775899776433,3.6317908613637973,52.922146974139736,6.968759002648477,1.3898112490711951,0.6817622163680988,1.819088761533164,1.2137087855943343
691247,2026-07-13T10:24:20.418324+00:00,micro,39.72126862435252,4.447450990764732,0.570298200969771,1.8414581310637133,1.963555836666348,0.1789917299630486,10,3.2760518040767153,3.6317908613637973,52.922146974139736,6.968759002648477,1.3898112490711951,0.6817622163680988,1.819088761533164,1.8724684909302252
691248,2026-07-13T10:24:20.604954+00:00,micro,47.272038419548224,3.074527490953073,0.3852332821353603,1.3562815631056728,0.5122305813636109,0.1343343494146285,10,2.458696208143906,3.6317908613637973,52.922146974139736,6.968759002648477,1.3898112490711951,0.6817622163680988,1.819088761533164,1.2135244799221823
691249,2026-07-13T10:24:20.736965+00:00,micro,51.52619588050675,5.127474420749395,0.8091659766347084,0.2241636071268925,0.1963483592133741,0.0754143507136698,10,1.3802946078000133,3.6317908613637973,52.922146974139736,6.968759002648477,1.3898112490711951,0.6817622163680988,1.819088761533164,1.1764747604433874
691250,2026-07-13T10:24:20.911531+00:00,micro,41.83231750236939,9.01987176295658,1.1529712337332612,1.4481842436263537,1.4473797057430262,0.1801870630300903,10,3.2979297592848296,3.6317908613637973,52.922146974139736,6.968759002648477,1.3898112490711951,0.6817622163680988,1.819088761533164,1.6278046357424658
