Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,54.90751648,7,1,1,1,10,0.106468939
2,micro,58.39695358,7,1,1,1,10,0.168735328
3,micro,25.05192947,7,1,1,1,10,0.137087705
4,micro,47.77718353,7,1,1,1,10,0.142216568
5,micro,59.82154083,7,1,1,1,10,0.147089985
6,micro,21.13803101,7,1,1,1,10,0.161695441
7,micro,59.3506012,7,1,1,1,10,0.150707323
8,micro,55.71790314,7,1,1,1,10,0.123963372
9,micro,50.4233284,7,1,1,1,10,0.122942093
10,micro,39.51080322,7,1,1,1,10,0.178641914
11,micro,55.38376617,7,1,1,1,10,0.144563522
12,micro,53.39592361,7,1,1,1,10,0.1548306
13,micro,29.83100128,7,1,1,1,10,0.16364267
14,micro,23.16376877,7,1,1,1,10,0.158100109
15,micro,30.44099617,7,1,1,1,10,0.153325843
16,micro,42.758564,7,1,1,1,10,0.100532077
17,micro,40.83272171,7,1,1,1,10,0.181316124
18,micro,25.20162773,7,1,1,1,10,0.140994159
19,micro,21.24976158,7,1,1,1,10,0.189082061
20,micro,28.74217987,7,1,1,1,10,0.169111304
21,micro,43.43589783,7,1,1,1,10,0.177799709
22,micro,29.01363564,7,1,1,1,10,0.157169071
23,micro,59.07370377,7,1,1,1,10,0.183127684
24,micro,24.67451859,7,1,1,1,10,0.154264421
25,micro,50.24431229,7,1,1,1,10,0.140442404
26,micro,25.24786377,7,1,1,1,10,0.15049533
27,micro,21.89113808,7,1,1,1,10,0.192440702
28,micro,30.2778511,7,1,1,1,10,0.132360246
29,micro,30.49778366,7,1,1,1,10,0.118948993
30,micro,33.56900406,7,1,1,1,10,0.167900097
31,micro,46.07227325,7,1,1,1,10,0.158186678
32,micro,41.22151184,7,1,1,1,10,0.149029239
33,micro,51.85308075,7,1,1,1,10,0.135152607
34,micro,47.31839371,7,1,1,1,10,0.187664575
35,micro,44.8068924,7,1,1,1,10,0.159035297
36,micro,36.22216034,7,1,1,1,10,0.23542783
37,micro,42.54705048,7,1,1,1,10,0.132469517
38,micro,47.95633698,7,1,1,1,10,0.13781243
39,micro,22.7365303,7,1,1,1,10,0.114336624
40,micro,50.27171707,7,1,1,1,10,0.142179829
41,micro,25.20550537,7,1,1,1,10,0.115530491
42,micro,45.79785156,7,1,1,1,10,0.163965077
43,micro,24.06861115,7,1,1,1,10,0.155285772
44,micro,54.13044739,7,1,1,1,10,0.130758319
45,micro,38.36341476,7,1,1,1,10,0.152675942
46,micro,48.76917648,7,1,1,1,10,0.185134639
47,micro,41.53401566,7,1,1,1,10,0.165581824
