Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,23.03736877,7,1,1,1,10,0.143234834
2,micro,55.70639038,7,1,1,1,10,0.129656505
3,micro,53.68972015,7,1,1,1,10,0.132131822
4,micro,44.79273224,7,1,1,1,10,0.158222277
5,micro,43.9545784,7,1,1,1,10,0.1791121
6,micro,32.71232986,7,1,1,1,10,0.140326154
7,micro,32.92127991,7,1,1,1,10,0.152281054
8,micro,20.63385201,7,1,1,1,10,0.130714818
9,micro,23.50725555,7,1,1,1,10,0.135538969
10,micro,31.14284706,7,1,1,1,10,0.164920681
11,micro,44.06756973,7,1,1,1,10,0.10590668
12,micro,43.94215393,7,1,1,1,10,0.154991054
13,micro,43.97050095,7,1,1,1,10,0.148465655
14,micro,43.95333481,7,1,1,1,10,0.118386838
15,micro,31.14287186,7,1,1,1,10,0.15749993
16,micro,31.12388039,7,1,1,1,10,0.135289852
17,micro,31.18565178,7,1,1,1,10,0.118649423
18,micro,31.14710426,7,1,1,1,10,0.159150736
19,micro,31.14758492,7,1,1,1,10,0.098345968
20,micro,44.79273224,7,1,1,1,10,0.131982172
21,micro,43.90997696,7,1,1,1,10,0.124789961
22,micro,33.04327393,7,1,1,1,10,0.197979189
23,micro,33.04085159,7,1,1,1,10,0.14119238
24,micro,33.1101799,7,1,1,1,10,0.167346277
25,micro,33.14474487,7,1,1,1,10,0.157458709
26,micro,33.12111664,7,1,1,1,10,0.148305894
27,micro,33.06150055,7,1,1,1,10,0.166866023
28,micro,33.04532242,7,1,1,1,10,0.125884185
29,micro,33.25849915,7,1,1,1,10,0.168178857
30,micro,33.60408401,7,1,1,1,10,0.202220025
31,micro,33.79793549,7,1,1,1,10,0.14560096
32,micro,33.60741043,7,1,1,1,10,0.144178604
33,micro,34.67860794,7,1,1,1,10,0.190144654
34,micro,35.60314941,7,1,1,1,10,0.226364106
35,micro,36.26538849,7,1,1,1,10,0.174535558
36,micro,35.60314941,6.652004242,1,1,1,10,0.150950783
37,micro,35.60314941,8.414592743,1,1,1,10,0.426611617
38,micro,35.60314941,4.656291962,1,1,1,10,0.16703424
39,micro,35.60314941,7.208086014,1,1,1,10,0.267582464
40,micro,35.60314941,3.141224146,1,1,1,10,0.139999678
41,micro,35.60314941,6.963970661,1,1,1,10,0.237446835
42,micro,35.60314941,4.255764008,1,1,1,10,0.168087435
43,micro,35.60314941,3.418109179,1,1,1,10,0.105570856
44,micro,35.60314941,8.112005234,1,1,1,10,0.60653248
45,micro,35.60314941,6.657411575,1,1,1,10,0.145994514
46,micro,35.60314941,7.994701862,1,1,1,10,0.613275134
47,micro,35.60314941,8.016327858,1,1,1,10,0.597114341
48,micro,35.60314941,8.030666351,1,1,1,10,0.618963372
49,micro,35.60314941,8.030733109,1,1,1,10,0.621344014
50,micro,35.60314941,8.030893326,1,1,1,10,0.633949982
51,micro,35.60314941,8.023112297,1,1,1,10,0.612917623
52,micro,35.60314941,8.028900146,1,1,1,10,0.612188048
53,micro,35.60314941,8.033163071,1,1,1,10,0.646390447
54,micro,35.60314941,8.022141457,1,1,1,10,0.646351261
55,micro,35.60314941,8.00566864,1,1,1,10,0.611465404
56,micro,35.60314941,8.020309448,1,1,1,10,0.635229138
57,micro,35.60314941,8.015459061,1,1,1,10,0.618327292
58,micro,35.60314941,8.02167511,1,1,1,10,0.689604832
59,micro,35.60314941,7.983812332,1,1,1,10,0.616876712
60,micro,35.60314941,7.99712801,1,1,1,10,0.619741243
61,micro,38.63988495,8.02167511,1,1,1,10,0.186844738
62,micro,40.76557922,8.02167511,1,1,1,10,0.130595302
63,micro,42.90350342,8.02167511,1,1,1,10,0.163154886
64,micro,41.12850952,8.02167511,1,1,1,10,0.138682293
65,micro,31.18394852,8.02167511,1,1,1,10,0.197974357
66,micro,38.64741898,8.02167511,1,1,1,10,0.172438261
67,micro,39.5207901,8.02167511,1,1,1,10,0.182166027
68,micro,41.96563339,8.02167511,1,1,1,10,0.140946155
69,micro,43.32432175,8.02167511,1,1,1,10,0.1367177
70,micro,37.0670929,8.02167511,1,1,1,10,0.343952832
71,micro,36.89731598,8.02167511,1,1,1,10,0.340411083
72,micro,37.06077576,8.02167511,1,1,1,10,0.319517373
73,micro,36.484272,8.02167511,1,1,1,10,0.555000096
74,micro,36.38363647,8.02167511,1,1,1,10,0.542457144
75,micro,36.4530983,8.02167511,1,1,1,10,0.567424268
76,micro,36.46306229,8.02167511,1,1,1,10,0.539072505
77,micro,36.43528366,8.02167511,1,1,1,10,0.519554224
78,micro,36.43206406,8.02167511,1,1,1,10,0.555419854
79,micro,36.4278183,8.02167511,1,1,1,10,0.551004049
80,micro,36.43491364,8.02167511,1,1,1,10,0.584855906
81,micro,36.43491364,9.232568741,1,1,1,10,0.145189819
82,micro,36.43491364,7.887903214,1,1,1,10,0.545631871
83,micro,36.43491364,8.600211143,1,1,1,10,0.329357001
84,micro,36.43491364,8.990934372,1,1,1,10,0.178612604
85,micro,36.43491364,8.049702644,1,1,1,10,0.58740308
86,micro,36.43491364,7.600475788,1,1,1,10,0.383138801
87,micro,36.43491364,9.06201458,1,1,1,10,0.179386499
88,micro,36.43491364,8.457043648,1,1,1,10,0.399539873
89,micro,36.43491364,7.760138035,1,1,1,10,0.487354504
90,micro,36.43491364,8.192493439,1,1,1,10,0.560402685
91,micro,36.43491364,8.047678947,1,1,1,10,0.558390378
92,micro,36.43491364,8.045292854,1,1,1,10,0.582948215
93,micro,36.43491364,8.045700073,1,1,1,10,0.529522269
94,micro,36.43491364,8.04419899,1,1,1,10,0.550254042
95,micro,36.43491364,8.043672562,1,1,1,10,0.570530119
96,micro,36.43491364,8.04368782,1,1,1,10,0.572458719
97,micro,36.43491364,8.043739319,1,1,1,10,0.577067257
98,micro,36.43491364,8.043991089,1,1,1,10,0.574317717
99,micro,36.43491364,8.044119835,1,1,1,10,0.582068212
100,micro,36.43491364,8.044446945,1,1,1,10,0.520864265
101,micro,36.43491364,8.049702644,1.392518878,0.629546404,1.951294899,10,1.005156014
102,micro,36.43491364,8.049702644,1.843463659,0.396145463,1.251629949,10,0.726190134
103,micro,36.43491364,8.049702644,0.355980992,0.544828653,1.05903697,10,0.414696058
104,micro,36.43491364,8.049702644,0.398459435,1.41283834,0.671978831,10,0.369885667
105,micro,36.43491364,8.049702644,1.880659342,0.261813998,0.910662889,10,0.533983634
106,micro,36.43491364,8.049702644,0.513878465,0.927520871,1.674145341,10,0.68171113
107,micro,36.43491364,8.049702644,1.736111999,1.708014846,1.011864901,10,0.642299142
108,micro,36.43491364,8.049702644,0.955577135,0.434494257,0.163567781,10,0.380040916
109,micro,36.43491364,8.049702644,0.87380445,1.899638295,1.85524714,10,0.806748646
110,micro,36.43491364,8.049702644,1.783215284,1.126451492,0.224036098,10,0.455419036
111,micro,36.43491364,8.049702644,1.843052506,0.916771114,2,10,1.080925669
112,micro,36.43491364,8.049702644,1.880347967,0.883172452,2,10,1.088355699
113,micro,36.43491364,8.049702644,1.843389273,0.868422985,2,10,1.064196154
114,micro,36.43491364,8.049702644,1.000002146,0.90105474,0.999961078,10,0.571642881
115,micro,36.43491364,8.049702644,1.683778644,0.912574887,2,10,1.062592449
116,micro,36.43491364,8.049702644,1.682228446,0.908238947,2,10,1.049735687
117,micro,36.43491364,8.049702644,1.698944569,0.884138107,2,10,1.074351813
118,micro,36.43491364,8.049702644,1.678742886,0.899460614,2,10,1.056047141
119,micro,36.43491364,8.049702644,1.682152629,0.935160637,2,10,1.070386011
