Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,37.42694855,7,1,1,1,10,0.17350416
2,micro,33.60816193,7,1,1,1,10,0.16208222
3,micro,45.00807953,7,1,1,1,10,0.124451933
4,bench,30.53090668,7,1,1,1,200,3.475934109
5,bench,58.09331894,7,1,1,1,200,3.471451174
6,bench,45.64754486,7,1,1,1,200,3.518960532
7,bench,20.00401878,7,1,1,1,200,3.567384793
8,bench,20.0189476,7,1,1,1,200,3.501405091
9,bench,20,7,1,1,1,200,3.554130257
10,bench,42.55255127,7,1,1,1,200,3.57262261
11,micro,42.5525322,7,1,1,1,10,0.175483227
12,bench,54.17435455,7,1,1,1,200,3.469471745
13,micro,20,7,1,1,1,10,0.17998608
14,micro,42.55255127,4.361246109,1,1,1,10,0.13168464
15,micro,42.55255127,3.362856388,1,1,1,10,0.113186359
16,micro,42.55255127,3.176019192,1,1,1,10,0.138817627
17,bench,42.55255127,9.025232315,1,1,1,200,3.415079061
18,bench,42.55255127,7.257296562,1,1,1,200,3.433289115
19,bench,42.55255127,6.037128448,1,1,1,200,3.481218431
20,bench,42.55255127,3,1,1,1,200,3.378644911
21,bench,42.55255127,9.499857903,1,1,1,200,3.485546315
22,bench,42.55255127,9.5,1,1,1,200,3.535077716
23,bench,42.55255127,9.5,1,1,1,200,3.501541545
