Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,23.84289169,7,1,1,1,10,0.144297836
2,micro,20.66835594,7,1,1,1,10,0.155308716
3,micro,20.22697258,7,1,1,1,10,0.127452057
4,micro,40.63367844,7,1,1,1,10,0.183000438
5,micro,52.7196579,7,1,1,1,10,0.128974954
6,micro,37.04238892,7,1,1,1,10,0.200185264
7,micro,49.89685059,7,1,1,1,10,0.153747841
8,micro,52.09897995,7,1,1,1,10,0.152324258
9,micro,21.97770691,7,1,1,1,10,0.117319047
10,micro,25.63631248,7,1,1,1,10,0.169832105
11,micro,36.9330101,7,1,1,1,10,0.202062548
12,micro,36.58251953,7,1,1,1,10,0.22462425
13,micro,36.25420761,7,1,1,1,10,0.2560149
14,micro,35.98089218,7,1,1,1,10,0.226925474
15,micro,36.25201797,7,1,1,1,10,0.238182621
16,micro,37.94819641,7,1,1,1,10,0.181599095
17,micro,39.66003036,7,1,1,1,10,0.166823307
18,micro,41.62848663,7,1,1,1,10,0.166798083
19,micro,26.8605442,7,1,1,1,10,0.156911573
20,micro,43.16443634,7,1,1,1,10,0.169710725
21,micro,44.36867142,7,1,1,1,10,0.116850241
22,micro,29.8416748,7,1,1,1,10,0.14372748
23,micro,57.47831345,7,1,1,1,10,0.155013732
24,micro,32.76035309,7,1,1,1,10,0.16091253
25,micro,47.28644562,7,1,1,1,10,0.155956973
26,micro,59.99737167,7,1,1,1,10,0.168008304
27,micro,58.89446259,7,1,1,1,10,0.170414347
28,micro,55.21596146,7,1,1,1,10,0.113688056
29,micro,34.03979492,7,1,1,1,10,0.19324491
30,micro,34.74927139,7,1,1,1,10,0.200403244
31,micro,31.44544411,7,1,1,1,10,0.142495963
32,micro,28.24709129,7,1,1,1,10,0.151732217
33,micro,35.70417023,7,1,1,1,10,0.246264348
34,micro,38.43740845,7,1,1,1,10,0.161021405
35,micro,51.86305618,7,1,1,1,10,0.145327806
36,micro,40.70261383,7,1,1,1,10,0.131707162
37,micro,22.85754776,7,1,1,1,10,0.16930465
38,micro,55.25092697,7,1,1,1,10,0.14398733
39,micro,49.91006851,7,1,1,1,10,0.156175225
40,micro,20.62663078,7,1,1,1,10,0.160988927
41,micro,49.92411804,7,1,1,1,10,0.105903846
42,micro,35.28804779,7,1,1,1,10,0.204845357
43,micro,24.06399536,7,1,1,1,10,0.155518857
44,micro,25.01241112,7,1,1,1,10,0.165387355
45,micro,42.24056244,7,1,1,1,10,0.147210152
46,micro,31.55657959,7,1,1,1,10,0.155161232
47,micro,56.2924881,7,1,1,1,10,0.16992532
48,micro,22.34589958,7,1,1,1,10,0.129850007
49,micro,32.52188492,7,1,1,1,10,0.166562655
50,micro,34.31719971,7,1,1,1,10,0.190296641
51,micro,36.25420761,4.472002983,1,1,1,10,0.150716981
52,micro,36.25420761,4.946385384,1,1,1,10,0.150244581
53,micro,36.25420761,9.209552765,1,1,1,10,0.163492498
54,micro,36.25420761,9.129137039,1,1,1,10,0.18771106
55,micro,36.25420761,5.378796101,1,1,1,10,0.208844386
56,micro,36.25420761,7.015832424,1,1,1,10,0.2165072
57,micro,36.25420761,3.636826754,1,1,1,10,0.165742505
58,micro,36.25420761,3.223452568,1,1,1,10,0.147762719
59,micro,36.25420761,8.85030365,1,1,1,10,0.193474845
60,micro,36.25420761,4.109086037,1,1,1,10,0.16822227
61,micro,36.25420761,7.067075253,1,1,1,10,0.273028289
62,micro,36.25420761,7.088527203,1,1,1,10,0.273851998
63,micro,36.25420761,7.081248283,1,1,1,10,0.235163
64,micro,36.25420761,7.615850925,1,1,1,10,0.455521552
65,micro,36.25420761,7.78246212,1,1,1,10,0.559530098
66,micro,36.25420761,7.984158516,1,1,1,10,0.638934482
67,micro,36.25420761,8.071969986,1,1,1,10,0.615413708
68,micro,36.25420761,8.058744431,1,1,1,10,0.620309742
69,micro,36.25420761,8.055225372,1,1,1,10,0.64348804
70,micro,36.25420761,8.064430237,1,1,1,10,0.651191694
71,micro,36.25420761,6.170906544,1,1,1,10,0.194143925
72,micro,36.25420761,8.088396072,1,1,1,10,0.654043159
73,micro,36.25420761,8.098588943,1,1,1,10,0.614624688
74,micro,36.25420761,8.088944435,1,1,1,10,0.640286375
75,micro,36.25420761,8.05796814,1,1,1,10,0.640880311
76,micro,36.25420761,3.629771948,1,1,1,10,0.137516799
77,micro,36.25420761,3.407357693,1,1,1,10,0.134861642
78,micro,36.25420761,4.902754307,1,1,1,10,0.158797241
79,micro,36.25420761,7.53044796,1,1,1,10,0.376407328
80,micro,36.25420761,8.02148819,1,1,1,10,0.620831293
81,micro,36.25420761,8.178256989,1,1,1,10,0.585012392
82,micro,36.25420761,7.981869221,1,1,1,10,0.625758218
83,micro,36.25420761,5.100089073,1,1,1,10,0.192338718
84,micro,36.25420761,7.467364311,1,1,1,10,0.346600209
85,micro,36.25420761,6.014266968,1,1,1,10,0.191647734
86,micro,36.25420761,7.315601349,1,1,1,10,0.318878618
87,micro,36.25420761,5.316513062,1,1,1,10,0.198536207
88,micro,36.25420761,7.138450146,1,1,1,10,0.278350374
89,micro,36.25420761,9.371953011,1,1,1,10,0.146424278
90,micro,36.25420761,7.133849621,1,1,1,10,0.259798097
91,micro,36.25420761,8.69633007,1,1,1,10,0.289579262
92,micro,36.25420761,8.934037209,1,1,1,10,0.196459985
93,micro,36.25420761,5.545453072,1,1,1,10,0.205477768
94,micro,36.25420761,7.771770954,1,1,1,10,0.52831274
95,micro,36.25420761,5.58997345,1,1,1,10,0.2101733
96,micro,36.25420761,3.410854101,1,1,1,10,0.150681413
97,micro,36.25420761,5.402638435,1,1,1,10,0.21619537
98,micro,36.25420761,5.116304398,1,1,1,10,0.19354774
99,micro,36.25420761,9.414533615,1,1,1,10,0.176807828
100,micro,36.25420761,6.280514717,1,1,1,10,0.177460788
101,micro,36.25420761,8.088396072,0.368086934,1.856299758,0.476122737,10,0.412089811
102,micro,36.25420761,8.088396072,0.864804268,0.991599321,0.246341705,10,0.442357231
