Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,39.21453857,7,1,1,1,10,0.150940015
2,micro,46.48910904,7,1,1,1,10,0.155490059
3,micro,25.98101044,7,1,1,1,10,0.142689244
4,micro,21.74200058,7,1,1,1,10,0.15471108
5,micro,20.06660843,7,1,1,1,10,0.189590347
6,micro,42.92518616,7,1,1,1,10,0.148754494
7,micro,32.43963623,7,1,1,1,10,0.150244876
8,micro,32.63819122,7,1,1,1,10,0.166120506
9,micro,29.79461288,7,1,1,1,10,0.166966476
10,micro,58.94848251,7,1,1,1,10,0.140793021
11,micro,20.09312057,7,1,1,1,10,0.152671413
12,micro,20.05522346,7,1,1,1,10,0.181166355
13,micro,20.06606483,7,1,1,1,10,0.182367468
14,micro,20.06331253,7,1,1,1,10,0.139128476
15,micro,20,7,1,1,1,10,0.113659224
16,micro,20.0595932,7,1,1,1,10,0.150423129
17,micro,20.06774712,7,1,1,1,10,0.124469674
18,micro,29.78549767,7,1,1,1,10,0.167975367
19,micro,29.7757988,7,1,1,1,10,0.147696317
20,micro,20.31285858,7,1,1,1,10,0.168989319
21,micro,20.06660843,6.065569878,1,1,1,10,0.131823941
22,micro,20.06660843,7.061794281,1,1,1,10,0.212398689
23,micro,20.06660843,3.270934582,1,1,1,10,0.182448763
24,micro,20.06660843,4.142230034,1,1,1,10,0.142535492
25,micro,20.06660843,4.109157562,1,1,1,10,0.15167124
26,micro,20.06660843,3.203273773,1,1,1,10,0.153477327
27,micro,20.06660843,9.25204277,1,1,1,10,0.147250741
28,micro,20.06660843,5.375249386,1,1,1,10,0.152562879
29,micro,20.06660843,7.110799313,1,1,1,10,0.15692088
30,micro,20.06660843,5.225955963,1,1,1,10,0.156259529
31,micro,20.06660843,7.053686142,1,1,1,10,0.147342749
32,micro,20.06660843,7.075690269,1,1,1,10,0.132003564
33,micro,20.06660843,3.453132629,1,1,1,10,0.138435129
34,micro,20.06660843,3.286948681,1,1,1,10,0.12679777
35,micro,20.06660843,6.846562862,1,1,1,10,0.117261884
36,micro,20.06660843,9.5,1,1,1,10,0.132690071
37,micro,20.06660843,3,1,1,1,10,0.146809665
38,micro,20.06660843,7.14516592,1,1,1,10,0.155926611
39,micro,20.06660843,7.121786594,1,1,1,10,0.146989205
40,micro,20.06660843,7.057754993,1,1,1,10,0.140294708
