Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,40.0,7.0,0.9424605369567871,0.07257401943206787,1.904116153717041,10,0.17418147930107958
2,micro,40.0,7.0,1.7819368839263916,0.48543059825897217,1.4451732635498047,10,0.18235075616818638
3,micro,40.0,7.0,0.7664545774459839,0.7575912475585938,0.8086845874786377,10,0.16559524855709856
4,micro,40.0,7.0,1.8123102188110352,1.6156903505325317,0.3192688226699829,10,0.15379885105791954
5,micro,40.0,7.0,0.9099462032318115,0.9068611860275269,1.5888351202011108,10,0.18609132802132425
6,micro,40.0,7.0,1.5346698760986328,0.44222092628479004,0.36145830154418945,10,0.1664358325354678
7,micro,40.0,7.0,1.3403286933898926,0.9281944036483765,0.2129507064819336,10,0.11651087509415728
8,micro,40.0,7.0,0.33301234245300293,0.11686789989471436,0.8248432874679565,10,0.1325108788274409
9,micro,40.0,7.0,0.40748143196105957,0.035547614097595215,0.5513482093811035,10,0.10495058950240603
10,micro,40.0,7.0,0.32172083854675293,1.2410165071487427,0.787283182144165,10,0.109603460616788
11,micro,40.0,7.0,1.1728579998016357,1.6975864171981812,1.607025384902954,10,0.17727520720664822
12,micro,40.0,7.0,1.0274797677993774,1.477368712425232,1.332733392715454,10,0.2078892649645986
13,micro,40.0,7.0,0.6748001575469971,0.811611533164978,0.004164338111877441,10,0.07855446257072524
14,micro,40.0,7.0,1.2172526121139526,0.7221771478652954,0.8781415224075317,10,0.14122975340719354
15,micro,40.0,7.0,0.4311399459838867,1.2577025890350342,0.4918351173400879,10,0.12547871018196216
16,micro,40.0,7.0,0.9608479142189026,1.5360257625579834,1.2370165586471558,10,0.11211868752068867
17,micro,40.0,7.0,1.066455364227295,1.43011474609375,1.3517550230026245,10,0.14760374576090576
18,micro,40.0,7.0,1.6618984937667847,0.22464115917682648,1.8782508373260498,10,0.19897054919561885
19,micro,40.0,7.0,1.8459699153900146,0.10616563260555267,2.0,10,0.22562850550008876
20,micro,40.0,7.0,2.0,0.0,2.0,10,0.18944377776891586
21,micro,40.0,7.0,2.0,0.0,2.0,10,0.22236104121342082
22,micro,40.0,7.0,2.0,0.0,2.0,10,0.18016519125706842
23,micro,40.0,7.0,2.0,0.0,2.0,10,0.19995302931532002
24,micro,40.0,7.0,2.0,0.0,2.0,10,0.21900319345088964
25,micro,40.0,7.0,2.0,0.0,2.0,10,0.17672668244881068
26,micro,40.0,7.0,2.0,0.5895441770553589,2.0,10,0.19255611583414448
27,micro,40.0,7.0,2.0,0.0,2.0,10,0.21916733047729764
28,micro,40.0,7.0,2.0,0.0,2.0,10,0.20134123605912266
29,micro,40.0,7.0,2.0,0.0,2.0,10,0.21535249281908725
30,micro,40.0,7.0,2.0,0.0,2.0,10,0.1693030917626665
31,micro,40.0,7.0,2.0,0.0,2.0,10,0.2050121346650945
32,micro,40.0,7.0,2.0,0.0,2.0,10,0.17390958456810496
33,micro,40.0,7.0,1.8476969003677368,0.0,2.0,10,0.2213131887050508
34,micro,40.0,7.0,1.7401807308197021,0.0,2.0,10,0.20186634976161447
35,micro,40.0,7.0,1.7347034215927124,0.0,2.0,10,0.24383541301325
36,micro,40.0,7.0,1.5734409093856812,0.0,2.0,10,0.2224527534206334
37,micro,40.0,7.0,1.534769058227539,0.0,2.0,10,0.26854998921067047
38,micro,40.0,7.0,1.4836831092834473,0.0,2.0,10,0.22592882653852245
39,micro,40.0,7.0,1.4840422868728638,0.0,2.0,10,0.23056810739727626
40,micro,40.0,7.0,1.4825135469436646,0.0,2.0,10,0.19154083032788669
41,micro,40.0,7.0,1.497145175933838,0.0,2.0,10,0.21695376504486338
42,micro,40.0,7.0,1.4997925758361816,0.0,2.0,10,0.23680715401263056
43,micro,40.0,7.0,1.4953564405441284,0.0,2.0,10,0.23503107457822175
44,micro,40.0,7.0,1.4926519393920898,0.0,2.0,10,0.2223079044911755
45,micro,40.0,7.0,1.4942268133163452,0.0,2.0,10,0.2251666141821259
46,micro,40.0,7.0,1.4950584173202515,0.0,2.0,10,0.20265813208604835
47,micro,40.0,7.0,1.499606728553772,0.0,2.0,10,0.22408146482756014
48,micro,40.0,7.0,1.5004745721817017,0.0,2.0,10,0.2503406306079385
49,micro,40.0,7.0,1.4954553842544556,0.0,2.0,10,0.2283872837685491
50,micro,40.0,7.0,1.495843529701233,0.0,2.0,10,0.2261139072234114
51,micro,40.0,7.0,1.4964078664779663,0.0,2.0,10,0.2000233336846501
52,micro,40.0,7.0,1.500655174255371,0.0,2.0,10,0.21403045277641655
53,micro,40.0,7.0,1.5020567178726196,0.0,2.0,10,0.24657109221617152
54,micro,40.0,7.0,1.499313473701477,0.0,2.0,10,0.22067361405000036
55,micro,40.0,7.0,1.500779390335083,0.0,2.0,10,0.2216676689155246
56,micro,44.30438995361328,7.0,1.534769058227539,0.0,2.0,10,0.19309882924919786
