Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,55.000274658203125,7.0,1.0,1.0,1.0,10,0.14103928135635033
2,micro,44.09867477416992,7.0,1.0,1.0,1.0,10,0.15286779570118872
3,micro,51.62116622924805,7.0,1.0,1.0,1.0,10,0.14396340972378746
4,micro,29.41116714477539,7.0,1.0,1.0,1.0,10,0.17982465839904718
5,micro,33.8863525390625,7.0,1.0,1.0,1.0,10,0.17594355685877835
6,micro,29.884113311767578,7.0,1.0,1.0,1.0,10,0.16493058897035917
7,micro,30.8645076751709,7.0,1.0,1.0,1.0,10,0.11356536028254666
8,micro,29.252517700195312,7.0,1.0,1.0,1.0,10,0.1483825585123049
9,micro,29.44481658935547,7.0,1.0,1.0,1.0,10,0.18069321589701431
10,micro,29.457475662231445,7.0,1.0,1.0,1.0,10,0.1673601432133168
11,micro,29.44481658935547,5.9743194580078125,1.0,1.0,1.0,10,0.1641475348045425
12,micro,29.44481658935547,7.869478702545166,1.0,1.0,1.0,10,0.15808212282519948
13,micro,29.44481658935547,4.858595371246338,1.0,1.0,1.0,10,0.140716752016098
14,micro,29.44481658935547,8.804498672485352,1.0,1.0,1.0,10,0.13805760969823172
