Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,41.60607147,7,1,1,1,10,0.130121765
2,micro,45.42221832,7,1,1,1,10,0.170489031
3,micro,25.00448418,7,1,1,1,10,0.10862634
4,bench,42.26784897,7,1,1,1,200,3.466825636
5,bench,30.90500832,7,1,1,1,200,3.507887925
6,bench,59.16488647,7,1,1,1,200,3.506301414
7,bench,22.27444077,7,1,1,1,200,3.408731706
8,bench,30.93126869,7,1,1,1,200,3.494787418
9,bench,30.61632919,7,1,1,1,200,3.406756001
10,bench,59.99975586,7,1,1,1,200,3.564084852
11,bench,59.86143494,7,1,1,1,200,3.462382601
12,bench,59.99860382,7,1,1,1,200,3.497943011
13,bench,59.99800491,7,1,1,1,200,3.445316007
14,bench,35.64345932,7,1,1,1,200,8.760408594
15,micro,36.10454559,7,1,1,1,10,0.1991669
16,bench,34.99801254,7,1,1,1,200,7.577346908
17,bench,36.44437027,7,1,1,1,200,8.378242743
18,bench,35.9030571,7,1,1,1,200,8.998335182
19,micro,35.72307968,7,1,1,1,10,0.220091763
20,bench,35.90326691,7,1,1,1,200,8.997317561
21,bench,35.90715408,7,1,1,1,200,9.054975359
22,bench,35.95305252,7,1,1,1,200,9.15692938
23,micro,35.95305252,7.034284592,1,1,1,10,0.210088176
24,micro,35.95305252,3.037924767,1,1,1,10,0.119372663
25,micro,35.95305252,4.470025063,1,1,1,10,0.171761361
26,bench,35.95305252,6.591837883,1,1,1,200,5.762807136
27,bench,35.95305252,3.166363716,1,1,1,200,3.451212699
28,bench,35.95305252,7.412254333,1,1,1,200,15.94038552
29,micro,35.95305252,7.447814465,1,1,1,10,0.367893858
30,bench,35.95305252,7.621290207,1,1,1,200,19.69276196
31,bench,35.95305252,9.5,1,1,1,200,3.74037315
32,bench,35.95305252,7.99767971,1,1,1,200,24.14000647
33,bench,35.95305252,8.184045792,1,1,1,200,24.08192936
34,bench,35.95305252,8.143417358,1,1,1,200,24.31325941
35,bench,35.95305252,8.119013786,1,1,1,200,24.43741537
36,bench,35.95305252,8.10790062,1,1,1,200,24.40610386
37,bench,35.95305252,8.108435631,1,1,1,200,24.27013039
38,bench,35.95305252,8.10233593,1,1,1,200,24.60346237
39,micro,35.95305252,8.10233593,0.195118189,0.994099975,0.135817885,10,0.276518479
40,micro,35.95305252,8.10233593,0.96272397,1.498834014,1.272853255,10,0.762361977
41,micro,35.95305252,8.10233593,1.886501789,1.511193871,0.73974216,10,0.663828306
42,bench,35.95305252,8.10233593,0.107870817,0.618938446,1.293532848,200,17.30031521
43,bench,35.95305252,8.10233593,0.095730186,1.756118298,1.915596008,200,14.38278224
44,bench,35.95305252,8.10233593,1.787679195,1.168461442,0.832229137,200,23.53928865
45,bench,35.95305252,8.10233593,1.737717271,1.057762265,0.872577906,200,24.37224597
46,bench,35.95305252,8.10233593,1.486820698,0.526108444,0.975077093,200,28.00133876
47,bench,35.95305252,8.10233593,1.380299807,0,0.856358528,200,5.030218163
48,bench,35.95305252,8.10233593,1.520778537,0.669292808,0.989813864,200,27.05765389
49,bench,35.95305252,8.10233593,1.627310991,0.579142511,0.871951401,200,27.39310756
50,bench,35.95305252,8.10233593,1.749212265,0.564745009,1.383127928,200,29.82908773
51,bench,35.95305252,8.10233593,2,0.565048218,2,200,33.38713113
52,bench,35.95305252,8.10233593,2,0.569675565,2,200,33.4787876
53,bench,35.95305252,8.10233593,2,0.537625015,2,200,33.70715406
54,bench,35.95305252,8.10233593,2,0.520807445,2,200,34.00369345
55,bench,35.95305252,8.10233593,2,0.488380879,2,200,34.20134321
56,bench,35.95305252,8.10233593,2,0.473263115,2,200,34.35753934
57,bench,35.95305252,8.10233593,2,0.461308181,2,200,34.60705061
58,bench,35.95305252,8.10233593,2,0.452403933,2,200,34.6083718
59,bench,35.95305252,8.10233593,1.755770922,0.426544607,2,200,34.76718374
60,bench,35.95305252,8.10233593,1.746503353,0.451075554,2,200,34.54495329
61,bench,35.95305252,8.10233593,1.825579762,0.436531574,2,200,34.71337668
62,bench,35.95305252,8.10233593,1.839226007,0.434686005,2,200,34.72184602
63,bench,35.95305252,8.10233593,1.934945345,0,2,200,6.284975915
64,pilot,35.95305252,8.10233593,1.755770922,0.426544607,2,2000,22.43617074
