Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,57.51700592,7,1,1,1,10,0.161074953
2,micro,41.45242691,7,1,1,1,10,0.127523058
3,micro,37.36747742,7,1,1,1,10,0.165867974
4,micro,55.22692871,7,1,1,1,10,0.136972862
5,micro,44.60035706,7,1,1,1,10,0.139266531
6,micro,43.61908722,7,1,1,1,10,0.140335047
7,micro,38.6644516,7,1,1,1,10,0.158537455
8,micro,36.12030029,7,1,1,1,10,0.248094253
9,micro,24.76085281,7,1,1,1,10,0.169542897
10,micro,40.31999969,7,1,1,1,10,0.157981152
11,micro,36.08085632,7,1,1,1,10,0.230024051
12,micro,36.15863037,7,1,1,1,10,0.236858309
13,micro,36.12485504,7,1,1,1,10,0.224369498
14,micro,35.82968521,7,1,1,1,10,0.252323532
15,micro,35.08676529,7,1,1,1,10,0.212548659
16,micro,35.78301239,7,1,1,1,10,0.207724127
17,micro,35.90614319,7,1,1,1,10,0.235358504
18,micro,35.90871048,7,1,1,1,10,0.224917374
19,micro,35.92005539,7,1,1,1,10,0.246496093
20,micro,35.91030502,7,1,1,1,10,0.214062429
21,micro,35.917202,7,1,1,1,10,0.254074455
22,micro,35.90128326,7,1,1,1,10,0.230571276
23,micro,35.90818405,7,1,1,1,10,0.24422527
24,micro,35.9046402,7,1,1,1,10,0.240879918
25,micro,35.90439224,7,1,1,1,10,0.253628676
26,micro,35.89202499,7,1,1,1,10,0.233284191
27,micro,35.89781952,7,1,1,1,10,0.209862626
28,micro,35.90808105,7,1,1,1,10,0.231242018
29,micro,35.91351318,7,1,1,1,10,0.231629918
30,micro,35.9187088,7,1,1,1,10,0.213933061
31,micro,35.91443253,7,1,1,1,10,0.189771764
32,micro,35.88636017,7,1,1,1,10,0.238806971
33,micro,35.88430405,7,1,1,1,10,0.24201229
34,micro,35.87774277,7,1,1,1,10,0.212901562
35,micro,35.90058517,7,1,1,1,10,0.183886722
36,micro,35.88155746,7,1,1,1,10,0.232537826
37,micro,35.8855896,7,1,1,1,10,0.243858124
38,micro,35.87704086,7,1,1,1,10,0.245475797
39,micro,35.86274719,7,1,1,1,10,0.202963812
40,micro,35.90802002,7,1,1,1,10,0.243893346
41,micro,35.91547012,7,1,1,1,10,0.229997227
42,micro,35.92168808,7,1,1,1,10,0.221728117
43,micro,35.91926193,7,1,1,1,10,0.224003881
44,micro,35.92061996,7,1,1,1,10,0.198017276
45,micro,35.88222885,7,1,1,1,10,0.245099403
46,micro,35.86575699,7,1,1,1,10,0.219996985
47,micro,35.89035034,7,1,1,1,10,0.192348765
48,micro,35.90397644,7,1,1,1,10,0.204944919
49,micro,35.89886093,7,1,1,1,10,0.237267186
50,micro,35.90393829,7,1,1,1,10,0.207410552
51,micro,35.917202,7.209077835,1,1,1,10,0.249358279
52,micro,35.917202,6.903476715,1,1,1,10,0.23140406
53,micro,35.917202,6.594950676,1,1,1,10,0.191490541
54,micro,35.917202,7.020133495,1,1,1,10,0.206950107
