Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,44.897159576416016,7.0,1.0,1.0,1.0,10,0.12467751076423932
2,micro,36.194793701171875,7.0,1.0,1.0,1.0,10,0.2233005445511401
3,micro,32.20414733886719,7.0,1.0,1.0,1.0,10,0.14060997427457067
4,bench,54.85942459106445,7.0,1.0,1.0,1.0,200,3.466128834224997
5,bench,45.964576721191406,7.0,1.0,1.0,1.0,200,3.4619068051360538
6,bench,34.15826416015625,7.0,1.0,1.0,1.0,200,5.716818998641418
7,micro,34.158267974853516,7.0,1.0,1.0,1.0,10,0.17770926934812928
8,bench,34.07509231567383,7.0,1.0,1.0,1.0,200,5.482249454839967
9,bench,34.36872100830078,7.0,1.0,1.0,1.0,200,6.122718812689966
10,bench,34.618160247802734,7.0,1.0,1.0,1.0,200,6.635938541872383
11,bench,35.01409149169922,7.0,1.0,1.0,1.0,200,7.731778278149636
12,bench,35.798927307128906,7.0,1.0,1.0,1.0,200,9.002360942373956
13,bench,36.441402435302734,7.0,1.0,1.0,1.0,200,8.46070890397435
14,bench,35.90134048461914,7.0,1.0,1.0,1.0,200,9.042249469771912
15,bench,35.89999771118164,7.0,1.0,1.0,1.0,200,9.072579651282147
16,bench,35.90071487426758,7.0,1.0,1.0,1.0,200,8.959060257578416
17,bench,35.901451110839844,7.0,1.0,1.0,1.0,200,8.961665200322836
18,bench,35.90180206298828,7.0,1.0,1.0,1.0,200,9.04830217517585
19,bench,35.899044036865234,7.0,1.0,1.0,1.0,200,9.051414647749901
20,bench,35.89555358886719,7.0,1.0,1.0,1.0,200,9.028764106479938
21,micro,35.850093841552734,7.0,1.0,1.0,1.0,10,0.2688237684021694
22,bench,35.910194396972656,7.0,1.0,1.0,1.0,200,9.037834294198738
23,bench,35.897525787353516,7.0,1.0,1.0,1.0,200,9.133450253686133
24,bench,35.901161193847656,7.0,1.0,1.0,1.0,200,9.032399037679205
25,bench,35.89497375488281,7.0,1.0,1.0,1.0,200,9.073240489805814
26,bench,35.87574768066406,7.0,1.0,1.0,1.0,200,9.03527058377357
27,micro,35.897525787353516,7.458475112915039,1.0,1.0,1.0,10,0.38457433434806987
28,micro,35.897525787353516,5.57590389251709,1.0,1.0,1.0,10,0.2331455148463831
29,micro,35.897525787353516,7.208548069000244,1.0,1.0,1.0,10,0.27571046875217786
30,bench,35.897525787353516,6.685208797454834,1.0,1.0,1.0,200,6.110918076290257
31,bench,35.897525787353516,7.06202507019043,1.0,1.0,1.0,200,9.8284879711695
32,bench,35.897525787353516,4.3945159912109375,1.0,1.0,1.0,200,3.746538662013129
33,bench,35.897525787353516,7.346457004547119,1.0,1.0,1.0,200,14.682108897911842
34,bench,35.897525787353516,7.380091190338135,1.0,1.0,1.0,200,15.224786164812464
35,bench,35.897525787353516,7.629615783691406,1.0,1.0,1.0,200,19.84709244069236
36,bench,35.897525787353516,8.699987411499023,1.0,1.0,1.0,200,11.904853839818955
37,bench,35.897525787353516,7.97947359085083,1.0,1.0,1.0,200,24.2165375068241
38,bench,35.897525787353516,8.033648490905762,1.0,1.0,1.0,200,24.209657770190258
39,bench,35.897525787353516,8.03984260559082,1.0,1.0,1.0,200,24.320357081706938
40,bench,35.897525787353516,8.042082786560059,1.0,1.0,1.0,200,24.29986236773456
41,bench,35.897525787353516,8.036687850952148,1.0,1.0,1.0,200,24.17001181583877
42,bench,35.897525787353516,8.036093711853027,1.0,1.0,1.0,200,24.22980487034372
43,micro,35.897525787353516,8.03984260559082,1.2618412971496582,0.37827563285827637,1.4849478006362915,10,0.9024419570398328
44,micro,35.897525787353516,8.03984260559082,0.9752933979034424,0.8577955961227417,0.21671020984649658,10,0.4342922409115086
45,micro,35.897525787353516,8.03984260559082,1.3240329027175903,1.0170971155166626,1.537559986114502,10,0.9195576072589694
46,bench,35.897525787353516,8.03984260559082,0.42613720893859863,0.364365816116333,1.403117060661316,200,29.057232645206128
47,bench,35.897525787353516,8.03984260559082,1.0659767389297485,1.4395719766616821,0.4060479402542114,200,20.059661846346014
48,bench,35.897525787353516,8.03984260559082,1.294915795326233,1.858332872390747,1.5796655416488647,200,23.349797085266648
49,micro,35.897525787353516,8.03984260559082,0.3268742859363556,0.2679271996021271,1.4630305767059326,10,0.5752893421867996
50,bench,35.897525787353516,8.03984260559082,0.6131184697151184,0.36399391293525696,1.2493873834609985,200,29.316964079403565
51,bench,35.897525787353516,8.03984260559082,0.0,0.37948647141456604,0.36299964785575867,200,1.7987916084024442
52,bench,35.897525787353516,8.03984260559082,0.6675146222114563,1.271157145500183,1.4883246421813965,200,24.254726815094745
53,bench,35.897525787353516,8.03984260559082,0.0,0.0,1.2613722085952759,200,1.9095180902559947
54,bench,35.897525787353516,8.03984260559082,0.5362904667854309,0.0,0.0,200,3.94576391528142
55,bench,35.897525787353516,8.03984260559082,0.5284286737442017,0.0,1.4135421514511108,200,5.195130944135306
56,bench,35.897525787353516,8.03984260559082,0.19107919931411743,0.4528776705265045,1.299560546875,200,23.840780959108496
57,bench,35.897525787353516,8.03984260559082,1.205137848854065,0.32944342494010925,1.3455653190612793,200,31.399504447353525
