Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,23.26308250427246,7.0,1.0,1.0,1.0,10,0.13037978663243852
2,micro,40.11333465576172,7.0,1.0,1.0,1.0,10,0.1549287271106676
3,micro,23.652339935302734,7.0,1.0,1.0,1.0,10,0.17343848159345918
4,micro,26.474102020263672,7.0,1.0,1.0,1.0,10,0.1790853137895697
5,micro,29.887571334838867,7.0,1.0,1.0,1.0,10,0.14741123972458575
6,micro,54.73851013183594,7.0,1.0,1.0,1.0,10,0.12826381416194335
7,micro,40.04606628417969,7.0,1.0,1.0,1.0,10,0.1254037470373895
8,micro,26.459487915039062,7.0,1.0,1.0,1.0,10,0.15758584385982316
9,micro,26.489248275756836,7.0,1.0,1.0,1.0,10,0.18937331280982309
10,micro,26.492908477783203,7.0,1.0,1.0,1.0,10,0.15180510989764254
11,micro,26.479230880737305,7.0,1.0,1.0,1.0,10,0.16632456839408183
12,micro,23.652332305908203,7.0,1.0,1.0,1.0,10,0.14054745482253558
13,micro,26.489248275756836,7.234933853149414,1.0,1.0,1.0,10,0.16614040652224513
14,micro,26.489248275756836,8.931931495666504,1.0,1.0,1.0,10,0.1601080601277956
15,micro,26.489248275756836,9.001022338867188,1.0,1.0,1.0,10,0.14927886891591616
16,micro,26.489248275756836,3.4960951805114746,1.0,1.0,1.0,10,0.16818721995797994
17,micro,26.489248275756836,9.418716430664062,1.0,1.0,1.0,10,0.16221390237935426
18,micro,26.489248275756836,6.4599456787109375,1.0,1.0,1.0,10,0.1646520969701482
19,micro,26.489248275756836,7.183406829833984,1.0,1.0,1.0,10,0.13756741338019293
20,micro,26.489248275756836,3.507998466491699,1.0,1.0,1.0,10,0.16754684733509
21,micro,26.489248275756836,7.2536940574646,1.0,1.0,1.0,10,0.169580624155809
22,micro,26.489248275756836,7.2555623054504395,1.0,1.0,1.0,10,0.1804167539613813
23,micro,26.489248275756836,7.275823593139648,1.0,1.0,1.0,10,0.14706710561660466
24,micro,26.489248275756836,7.248291969299316,1.0,1.0,1.0,10,0.15813512145747688
25,micro,26.489248275756836,7.247283458709717,1.0,1.0,1.0,10,0.10742942672972469
