Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,50.079200744628906,7.0,1.0,1.0,1.0,10,0.1353735404338878
2,micro,31.000337600708008,7.0,1.0,1.0,1.0,10,0.16352069311174366
3,micro,39.06472396850586,7.0,1.0,1.0,1.0,10,0.16626983066641274
4,micro,29.353649139404297,7.0,1.0,1.0,1.0,10,0.17339453855977863
5,micro,58.974422454833984,7.0,1.0,1.0,1.0,10,0.11318882308542888
6,micro,55.66917037963867,7.0,1.0,1.0,1.0,10,0.15351109677505315
7,micro,41.20912551879883,7.0,1.0,1.0,1.0,10,0.15808079438979153
8,micro,29.46893310546875,7.0,1.0,1.0,1.0,10,0.14466724980941056
9,micro,29.31700325012207,7.0,1.0,1.0,1.0,10,0.15170053581817716
10,micro,29.37146759033203,7.0,1.0,1.0,1.0,10,0.16045861702531408
11,micro,29.347190856933594,7.0,1.0,1.0,1.0,10,0.13993002273353533
12,micro,39.18684005737305,7.0,1.0,1.0,1.0,10,0.1325650072113049
13,micro,39.032493591308594,7.0,1.0,1.0,1.0,10,0.16300021621711552
14,micro,39.04646682739258,7.0,1.0,1.0,1.0,10,0.17002058955120444
15,micro,39.03434753417969,7.0,1.0,1.0,1.0,10,0.13619369917343954
16,micro,39.083370208740234,7.0,1.0,1.0,1.0,10,0.19347861452073453
17,micro,39.083370208740234,8.772903442382812,1.0,1.0,1.0,10,0.15388030322497304
18,micro,39.083370208740234,4.357357025146484,1.0,1.0,1.0,10,0.12138495695102462
19,micro,39.083370208740234,5.043994426727295,1.0,1.0,1.0,10,0.17007479724866495
20,micro,39.083370208740234,8.331327438354492,1.0,1.0,1.0,10,0.13526498720514504
21,micro,39.083370208740234,6.844303607940674,1.0,1.0,1.0,10,0.17068250377993832
22,micro,39.083370208740234,6.053253650665283,1.0,1.0,1.0,10,0.13521850468167446
23,micro,39.083370208740234,5.4986958503723145,1.0,1.0,1.0,10,0.1363725797385024
24,micro,39.083370208740234,6.914780616760254,1.0,1.0,1.0,10,0.18330929820882125
25,micro,39.083370208740234,6.9847636222839355,1.0,1.0,1.0,10,0.12664830861674736
26,micro,39.083370208740234,6.8908891677856445,1.0,1.0,1.0,10,0.1273285829008315
27,micro,39.083370208740234,5.033780574798584,1.0,1.0,1.0,10,0.11479780998690223
28,micro,39.083370208740234,6.928197383880615,1.0,1.0,1.0,10,0.1077642342247355
29,micro,39.083370208740234,6.754612922668457,1.0,1.0,1.0,10,0.1531488245368272
30,micro,39.083370208740234,6.72820520401001,1.0,1.0,1.0,10,0.13494972536745103
31,micro,39.083370208740234,9.5,1.0,1.0,1.0,10,0.13020029140796524
32,micro,39.083370208740234,7.770659446716309,1.0,1.0,1.0,10,0.18219863965450725
33,micro,39.083370208740234,7.770677089691162,1.0,1.0,1.0,10,0.1272843369170556
34,micro,39.083370208740234,8.047207832336426,1.0,1.0,1.0,10,0.16947906506169805
35,micro,39.083370208740234,8.225883483886719,1.0,1.0,1.0,10,0.158591327287614
36,micro,39.083370208740234,8.256439208984375,1.0,1.0,1.0,10,0.1218760764093744
37,micro,39.083370208740234,8.005596160888672,1.0,1.0,1.0,10,0.14784932935301578
38,micro,39.083370208740234,7.995712757110596,1.0,1.0,1.0,10,0.1179267497723891
39,micro,39.083370208740234,7.753145217895508,1.0,1.0,1.0,10,0.132034446328494
40,micro,39.083370208740234,7.741221904754639,1.0,1.0,1.0,10,0.1388602982884337
41,micro,39.083370208740234,9.5,1.0,1.0,1.0,10,0.15834040022968604
42,micro,39.083370208740234,9.5,1.0,1.0,1.0,10,0.12809205092635795
43,micro,39.083370208740234,9.5,1.0,1.0,1.0,10,0.1365946361928469
44,micro,39.083370208740234,7.76642370223999,1.0,1.0,1.0,10,0.11619579672426232
45,micro,39.083370208740234,9.5,1.0,1.0,1.0,10,0.1368624824553845
46,micro,39.083370208740234,7.642281532287598,1.0,1.0,1.0,10,0.13204635593639613
47,micro,39.083370208740234,9.5,1.0,1.0,1.0,10,0.1957955834645728
48,micro,39.083370208740234,9.5,1.0,1.0,1.0,10,0.17643588522531536
49,micro,58.2274284362793,9.5,1.0,1.0,1.0,10,0.1162256500080809
50,micro,50.96320343017578,9.5,1.0,1.0,1.0,10,0.174237240607775
51,micro,57.60527038574219,9.5,1.0,1.0,1.0,10,0.15031045078755118
52,micro,41.641868591308594,9.5,1.0,1.0,1.0,10,0.13417853221748632
53,micro,52.958396911621094,9.5,1.0,1.0,1.0,10,0.138177451667013
54,micro,44.25383377075195,9.5,1.0,1.0,1.0,10,0.16416518731810303
55,micro,57.18551254272461,9.5,1.0,1.0,1.0,10,0.11143064182644671
56,micro,50.898094177246094,9.5,1.0,1.0,1.0,10,0.18048488106660615
57,micro,50.784942626953125,9.5,1.0,1.0,1.0,10,0.15379305910531918
58,micro,50.90782928466797,9.5,1.0,1.0,1.0,10,0.16794574852323196
59,micro,50.955665588378906,9.5,1.0,1.0,1.0,10,0.12499503280668339
60,micro,50.86552429199219,9.5,1.0,1.0,1.0,10,0.1251232491953711
61,micro,44.318565368652344,9.5,1.0,1.0,1.0,10,0.12511163104089845
62,micro,44.064002990722656,9.5,1.0,1.0,1.0,10,0.17392953605178563
63,micro,50.98664093017578,9.5,1.0,1.0,1.0,10,0.13897697049421834
64,micro,44.039031982421875,9.5,1.0,1.0,1.0,10,0.1500205542492725
65,micro,44.07536315917969,9.5,1.0,1.0,1.0,10,0.12915906819001396
66,micro,50.74144744873047,9.5,1.0,1.0,1.0,10,0.14972209237529388
67,micro,43.8885383605957,9.5,1.0,1.0,1.0,10,0.15660732331193428
68,micro,43.807640075683594,9.5,1.0,1.0,1.0,10,0.16815826693239302
69,micro,43.6871452331543,9.5,1.0,1.0,1.0,10,0.18689252890538743
70,micro,43.55644607543945,9.5,1.0,1.0,1.0,10,0.15280252257547006
