Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,42.35285568237305,7.0,1.0,1.0,1.0,10,0.10870190761827847
2,micro,54.67388916015625,7.0,1.0,1.0,1.0,10,0.166671575969296
3,micro,26.447561264038086,7.0,1.0,1.0,1.0,10,0.1262094107530775
4,micro,33.02916717529297,7.0,1.0,1.0,1.0,10,0.13172930396162347
5,micro,27.760311126708984,7.0,1.0,1.0,1.0,10,0.15873408234957082
6,micro,40.2845573425293,7.0,1.0,1.0,1.0,10,0.11893999900788237
7,micro,24.030933380126953,7.0,1.0,1.0,1.0,10,0.16258014811862104
8,micro,57.36322784423828,7.0,1.0,1.0,1.0,10,0.13056752775446734
9,micro,51.99642562866211,7.0,1.0,1.0,1.0,10,0.12081548397325488
10,micro,30.03744125366211,7.0,1.0,1.0,1.0,10,0.1523122375872256
11,micro,30.141172409057617,7.0,1.0,1.0,1.0,10,0.13258377312015357
12,micro,24.37238883972168,7.0,1.0,1.0,1.0,10,0.1514123429739247
13,micro,27.552684783935547,7.0,1.0,1.0,1.0,10,0.1365126933694571
14,micro,37.785526275634766,7.0,1.0,1.0,1.0,10,0.21680333954790632
15,micro,47.507633209228516,7.0,1.0,1.0,1.0,10,0.1335117638544049
16,bench,51.69618606567383,7.0,1.0,1.0,1.0,200,3.484500004119405
17,bench,37.38356018066406,7.0,1.0,1.0,1.0,200,5.376763415510174
18,bench,37.26044464111328,7.0,1.0,1.0,1.0,200,5.654254303896196
19,micro,57.87575149536133,7.0,1.0,1.0,1.0,10,0.10521055117533365
20,micro,35.54877471923828,7.0,1.0,1.0,1.0,10,0.20568920454370723
21,micro,21.396406173706055,7.0,1.0,1.0,1.0,10,0.13044426195603945
