Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,39.9887352,7,1,1,1,10,0.135314638
2,micro,42.04003143,7,1,1,1,10,0.169619128
3,micro,48.61253357,7,1,1,1,10,0.156202167
4,micro,43.03087234,7,1,1,1,10,0.122435485
5,micro,28.92355156,7,1,1,1,10,0.126662857
6,micro,50.56346512,7,1,1,1,10,0.162544994
7,micro,41.58039093,7,1,1,1,10,0.143082125
8,micro,25.62781525,7,1,1,1,10,0.164654049
9,micro,42.5870285,7,1,1,1,10,0.147884329
10,micro,58.88356781,7,1,1,1,10,0.081438421
11,micro,42.1432724,7,1,1,1,10,0.144376692
12,micro,41.98430634,7,1,1,1,10,0.116788231
13,micro,42.05294418,7,1,1,1,10,0.156566241
14,micro,42.03075409,7,1,1,1,10,0.128878137
15,micro,25.61910057,7,1,1,1,10,0.116720143
16,micro,25.65050125,7,1,1,1,10,0.160584454
17,micro,25.64949799,7,1,1,1,10,0.133625685
18,micro,42.08140182,7,1,1,1,10,0.124032072
19,micro,50.09737396,7,1,1,1,10,0.125749436
20,micro,50.72852707,7,1,1,1,10,0.171680603
21,micro,50.82244873,7,1,1,1,10,0.153613014
22,micro,50.72866821,7,1,1,1,10,0.154307584
23,micro,50.73065186,7,1,1,1,10,0.165623643
24,micro,50.73140717,7,1,1,1,10,0.138503303
25,micro,51.86639786,7,1,1,1,10,0.153305799
26,micro,50.60012436,7,1,1,1,10,0.138043008
27,micro,51.21954727,7,1,1,1,10,0.103837059
28,micro,50.69819641,7,1,1,1,10,0.13472498
29,micro,48.61263275,7,1,1,1,10,0.14923784
30,micro,50.710186,7,1,1,1,10,0.127833672
31,micro,48.51319504,7,1,1,1,10,0.154841385
32,micro,48.46650314,7,1,1,1,10,0.136866006
33,micro,48.74078751,7,1,1,1,10,0.16518519
34,micro,48.81472397,7,1,1,1,10,0.130437119
35,micro,48.63888168,7,1,1,1,10,0.151044633
36,micro,50.72852707,8.306797028,1,1,1,10,0.130469366
37,micro,50.72852707,9.005109787,1,1,1,10,0.135938743
38,micro,50.72852707,5.723540306,1,1,1,10,0.182470539
