Run_Number,Scale,T,pH,F1,F2,F3,Cost,Yield
1,micro,20.88082504272461,7.0,1.0,1.0,1.0,10,0.1309736587554353
2,micro,53.36045837402344,7.0,1.0,1.0,1.0,10,0.13262888735636433
3,micro,57.62985610961914,7.0,1.0,1.0,1.0,10,0.125434818883488
4,micro,21.505077362060547,7.0,1.0,1.0,1.0,10,0.12333536071563998
5,micro,31.842796325683594,7.0,1.0,1.0,1.0,10,0.11344481780877824
6,micro,20.840755462646484,7.0,1.0,1.0,1.0,10,0.1590050984502327
7,micro,28.501895904541016,7.0,1.0,1.0,1.0,10,0.1760678279834328
8,micro,59.96067810058594,7.0,1.0,1.0,1.0,10,0.12241033231766711
9,micro,28.866085052490234,7.0,1.0,1.0,1.0,10,0.16305558281914717
10,micro,30.90240478515625,7.0,1.0,1.0,1.0,10,0.09708647509497859
11,micro,28.334041595458984,7.0,1.0,1.0,1.0,10,0.14218478740656557
12,micro,28.49664306640625,7.0,1.0,1.0,1.0,10,0.12980072831280814
13,micro,28.95659637451172,7.0,1.0,1.0,1.0,10,0.13543313066770019
14,micro,28.6584529876709,7.0,1.0,1.0,1.0,10,0.1212580207255197
15,micro,20.34002113342285,7.0,1.0,1.0,1.0,10,0.15238556460443067
16,micro,20.162796020507812,7.0,1.0,1.0,1.0,10,0.1454261639776451
17,micro,20.212167739868164,7.0,1.0,1.0,1.0,10,0.12282660696701042
18,micro,28.470184326171875,7.0,1.0,1.0,1.0,10,0.11724119869725641
19,micro,20.560972213745117,7.0,1.0,1.0,1.0,10,0.16630591866573285
20,micro,20.62032699584961,7.0,1.0,1.0,1.0,10,0.10378531143633332
21,micro,28.820764541625977,7.0,1.0,1.0,1.0,10,0.13621672017607964
22,micro,20.21086883544922,7.0,1.0,1.0,1.0,10,0.13702403576334932
23,micro,28.716909408569336,7.0,1.0,1.0,1.0,10,0.13139523104595627
24,micro,20.275419235229492,7.0,1.0,1.0,1.0,10,0.09055405112886075
25,micro,28.51799201965332,7.0,1.0,1.0,1.0,10,0.14236780127729592
26,micro,28.46392250061035,7.0,1.0,1.0,1.0,10,0.13687057742782574
27,micro,28.97762107849121,7.0,1.0,1.0,1.0,10,0.16485354278028447
28,micro,29.1223201751709,7.0,1.0,1.0,1.0,10,0.14857935952533646
29,micro,29.165637969970703,7.0,1.0,1.0,1.0,10,0.15172549266910326
30,micro,29.216718673706055,7.0,1.0,1.0,1.0,10,0.12083261001030349
